DATAPREG,PREULT
2025-09-01,12.3
2025-09-02,12.16
2025-09-03,11.9
2025-09-04,12.16
2025-09-05,12.25
2025-09-08,12.14
2025-09-09,12.33
2025-09-10,12.36
2025-09-11,12.52
2025-09-12,12.58
2025-09-15,12.63
2025-09-16,12.71
2025-09-17,12.79
2025-09-18,12.52
2025-09-19,12.55
2025-09-22,12.36
2025-09-23,12.46
2025-09-24,12.38
2025-09-25,12.46
2025-09-26,12.46
2025-09-29,12.41
2025-09-30,12.09
2025-10-01,11.99
2025-10-02,11.93
2025-10-03,11.87
2025-10-06,11.85
2025-10-07,11.71
2025-10-08,11.88
2025-10-09,11.72
2025-10-10,11.81
2025-10-13,11.86
2025-10-14,12.05
2025-10-15,11.99
2025-10-16,12.15
2025-10-17,12.37
2025-10-20,12.36
2025-10-21,12.22
2025-10-22,12.07
2025-10-23,12.12
2025-10-24,12.11
2025-10-27,12.15
2025-10-28,12.03
2025-10-29,12.03
2025-10-30,12.59
2025-10-31,12.71
2025-11-03,12.91
2025-11-04,13.16
2025-11-05,13.18
2025-11-06,13.08
2025-11-07,13.12
2025-11-10,13.18
2025-11-11,13.59
2025-11-12,13.62
2025-11-13,13.63
2025-11-14,13.69
2025-11-17,13.76
2025-11-18,13.74
2025-11-19,13.41
2025-11-21,13.62
2025-11-24,13.77
2025-11-25,13.74
2025-11-26,13.67
2025-11-27,13.72
2025-11-28,13.86
2025-12-01,14.01
2025-12-02,14.0
2025-12-03,14.15
2025-12-04,13.95
2025-12-05,13.61
2025-12-08,13.62
2025-12-09,13.64
2025-12-10,13.6
2025-12-11,13.78
2025-12-12,14.04
2025-12-15,14.28
2025-12-16,14.16
2025-12-17,14.02
2025-12-18,13.92
2025-12-19,13.28
2025-12-22,13.12
2025-12-23,13.47
2025-12-26,13.72
2025-12-29,13.87
2025-12-30,13.86
