DATAPREG,PREULT
2025-09-01,44.42
2025-09-02,44.5
2025-09-03,44.3
2025-09-04,45.4
2025-09-05,46.27
2025-09-08,45.47
2025-09-09,45.56
2025-09-10,45.61
2025-09-11,46.37
2025-09-12,45.55
2025-09-15,45.87
2025-09-16,46.04
2025-09-17,46.7
2025-09-18,46.75
2025-09-19,47.49
2025-09-22,47.15
2025-09-23,47.81
2025-09-24,47.83
2025-09-25,47.35
2025-09-26,48.04
2025-09-29,48.85
2025-09-30,48.26
2025-10-01,47.82
2025-10-02,47.24
2025-10-03,47.8
2025-10-06,47.63
2025-10-07,46.04
2025-10-08,47.44
2025-10-09,47.41
2025-10-10,47.14
2025-10-13,47.31
2025-10-14,46.4
2025-10-15,47.43
2025-10-16,45.77
2025-10-17,46.38
2025-10-20,46.68
2025-10-21,46.88
2025-10-22,47.3
2025-10-23,47.28
2025-10-24,47.65
2025-10-27,47.76
2025-10-28,47.95
2025-10-29,49.56
2025-10-30,49.12
2025-10-31,48.82
2025-11-03,48.5
2025-11-04,49.04
2025-11-05,50.39
2025-11-06,50.22
2025-11-07,50.59
2025-11-10,51.21
2025-11-11,52.4
2025-11-12,53.67
2025-11-13,54.0
2025-11-14,53.39
2025-11-17,52.98
2025-11-18,52.39
2025-11-19,52.12
2025-11-21,51.21
2025-11-24,51.19
2025-11-25,51.77
2025-11-26,52.67
2025-11-27,52.66
2025-11-28,54.0
2025-12-01,53.67
2025-12-02,55.18
2025-12-03,56.08
2025-12-04,56.92
2025-12-05,52.42
2025-12-08,52.94
2025-12-09,52.2
2025-12-10,53.43
2025-12-11,54.78
2025-12-12,55.29
2025-12-15,56.46
2025-12-16,53.51
2025-12-17,51.75
2025-12-18,52.76
2025-12-19,52.26
2025-12-22,51.56
2025-12-23,52.86
2025-12-26,52.45
2025-12-29,52.44
2025-12-30,52.58
