DATAPREG,PREULT
2025-09-01,36.3
2025-09-02,35.89
2025-09-03,35.58
2025-09-04,35.84
2025-09-05,36.59
2025-09-08,36.42
2025-09-09,36.21
2025-09-10,36.45
2025-09-11,36.43
2025-09-12,36.17
2025-09-15,36.56
2025-09-16,36.25
2025-09-17,36.66
2025-09-18,36.61
2025-09-19,37.19
2025-09-22,36.58
2025-09-23,37.24
2025-09-24,36.92
2025-09-25,36.63
2025-09-26,36.73
2025-09-29,37.01
2025-09-30,36.95
2025-10-01,36.72
2025-10-02,36.25
2025-10-03,36.25
2025-10-06,36.11
2025-10-07,35.22
2025-10-08,35.29
2025-10-09,35.33
2025-10-10,35.25
2025-10-13,35.39
2025-10-14,35.26
2025-10-15,35.69
2025-10-16,35.88
2025-10-17,36.33
2025-10-20,36.5
2025-10-21,36.26
2025-10-22,36.57
2025-10-23,36.68
2025-10-24,37.1
2025-10-27,37.28
2025-10-28,36.09
2025-10-29,36.7
2025-10-30,36.81
2025-10-31,36.65
2025-11-03,37.6
2025-11-04,37.76
2025-11-05,38.55
2025-11-06,37.6
2025-11-07,37.79
2025-11-10,38.09
2025-11-11,39.12
2025-11-12,39.5
2025-11-13,39.28
2025-11-14,39.46
2025-11-17,39.26
2025-11-18,39.18
2025-11-19,38.91
2025-11-21,38.84
2025-11-24,38.75
2025-11-25,39.15
2025-11-26,39.7
2025-11-27,39.66
2025-11-28,39.76
2025-12-01,39.3
2025-12-02,40.2
2025-12-03,40.16
2025-12-04,41.25
2025-12-05,39.24
2025-12-08,38.93
2025-12-09,38.55
2025-12-10,38.5
2025-12-11,38.88
2025-12-12,39.83
2025-12-15,40.45
2025-12-16,38.98
2025-12-17,38.09
2025-12-18,38.55
2025-12-19,38.71
2025-12-22,37.6
2025-12-23,38.43
2025-12-26,38.5
2025-12-29,38.5
2025-12-30,38.5
