DATAPREG,PREULT
2025-09-01,37.97
2025-09-02,37.99
2025-09-03,37.51
2025-09-04,37.32
2025-09-05,36.55
2025-09-08,36.59
2025-09-09,37.09
2025-09-10,37.63
2025-09-11,37.91
2025-09-12,38.15
2025-09-15,37.97
2025-09-16,38.47
2025-09-17,38.24
2025-09-18,38.89
2025-09-19,38.06
2025-09-22,38.18
2025-09-23,38.58
2025-09-24,38.91
2025-09-25,39.15
2025-09-26,39.24
2025-09-29,38.91
2025-09-30,38.13
2025-10-01,38.39
2025-10-02,38.3
2025-10-03,38.24
2025-10-06,37.91
2025-10-07,37.73
2025-10-08,37.64
2025-10-09,37.28
2025-10-10,36.02
2025-10-13,36.3
2025-10-14,35.32
2025-10-15,34.6
2025-10-16,34.2
2025-10-17,36.12
2025-10-20,35.41
2025-10-21,35.15
2025-10-22,36.21
2025-10-23,36.86
2025-10-24,37.05
2025-10-27,37.0
2025-10-28,36.43
2025-10-29,36.0
2025-10-30,35.77
2025-10-31,36.03
2025-11-03,36.44
2025-11-04,36.75
2025-11-05,37.81
2025-11-06,38.46
2025-11-07,38.85
2025-11-10,39.23
2025-11-11,40.3
2025-11-12,40.01
2025-11-13,39.83
2025-11-14,39.79
2025-11-17,39.85
2025-11-18,40.04
2025-11-19,39.41
2025-11-21,38.8
2025-11-24,38.54
2025-11-25,37.52
2025-11-26,37.99
2025-11-27,37.71
2025-11-28,37.21
2025-12-01,37.56
2025-12-02,37.58
2025-12-03,39.33
2025-12-04,39.59
2025-12-05,39.26
2025-12-08,39.35
2025-12-09,39.8
2025-12-10,39.6
2025-12-11,38.93
2025-12-12,39.41
2025-12-15,39.5
2025-12-16,38.55
2025-12-17,38.57
2025-12-18,38.55
2025-12-19,38.21
2025-12-22,39.41
2025-12-23,40.42
2025-12-26,40.6
2025-12-29,41.14
2025-12-30,41.42
