DATAPREG,PREULT
2025-09-01,36.05
2025-09-02,36.0
2025-09-03,36.36
2025-09-04,37.0
2025-09-05,38.1
2025-09-08,37.41
2025-09-09,37.26
2025-09-10,37.34
2025-09-11,38.69
2025-09-12,37.87
2025-09-15,38.29
2025-09-16,39.1
2025-09-17,40.1
2025-09-18,39.9
2025-09-19,39.65
2025-09-22,39.13
2025-09-23,40.59
2025-09-24,40.55
2025-09-25,40.25
2025-09-26,40.08
2025-09-29,40.06
2025-09-30,39.45
2025-10-01,39.98
2025-10-02,38.78
2025-10-03,39.0
2025-10-06,38.22
2025-10-07,36.81
2025-10-08,36.77
2025-10-09,36.71
2025-10-10,35.8
2025-10-13,36.14
2025-10-14,35.87
2025-10-15,36.79
2025-10-16,36.1
2025-10-17,36.6
2025-10-20,36.97
2025-10-21,37.35
2025-10-22,37.79
2025-10-23,38.2
2025-10-24,38.75
2025-10-27,39.32
2025-10-28,39.17
2025-10-29,39.77
2025-10-30,39.24
2025-10-31,39.44
2025-11-03,39.65
2025-11-04,40.9
2025-11-05,41.57
2025-11-06,41.15
2025-11-07,40.89
2025-11-10,42.07
2025-11-11,43.25
2025-11-12,43.06
2025-11-13,42.04
2025-11-14,44.05
2025-11-17,43.17
2025-11-18,43.0
2025-11-19,42.75
2025-11-21,42.04
2025-11-24,42.97
2025-11-25,43.51
2025-11-26,44.76
2025-11-27,44.7
2025-11-28,45.25
2025-12-01,45.4
2025-12-02,47.55
2025-12-03,47.22
2025-12-04,49.6
2025-12-05,45.93
2025-12-08,46.02
2025-12-09,45.0
2025-12-10,45.99
2025-12-11,46.75
2025-12-12,47.49
2025-12-15,47.76
2025-12-16,45.3
2025-12-17,43.61
2025-12-18,43.32
2025-12-19,43.78
2025-12-22,43.43
2025-12-23,44.9
2025-12-26,44.89
2025-12-29,44.98
2025-12-30,43.57
