DATAPREG,PREULT
2025-09-01,37.81
2025-09-02,37.68
2025-09-03,37.85
2025-09-04,37.25
2025-09-05,37.85
2025-09-08,37.44
2025-09-09,36.98
2025-09-10,37.28
2025-09-11,36.83
2025-09-12,36.95
2025-09-15,36.51
2025-09-16,36.77
2025-09-17,36.71
2025-09-18,36.73
2025-09-19,36.35
2025-09-22,37.11
2025-09-23,36.7
2025-09-24,36.89
2025-09-25,36.35
2025-09-26,36.32
2025-09-29,36.37
2025-09-30,36.59
2025-10-01,35.79
2025-10-02,36.13
2025-10-03,36.4
2025-10-06,35.68
2025-10-07,35.73
2025-10-08,35.5
2025-10-09,37.2
2025-10-10,36.69
2025-10-13,37.84
2025-10-14,37.33
2025-10-15,37.42
2025-10-16,38.43
2025-10-17,40.15
2025-10-20,39.54
2025-10-21,39.67
2025-10-22,40.02
2025-10-23,41.44
2025-10-24,41.37
2025-10-27,41.67
2025-10-28,42.32
2025-10-29,42.05
2025-10-30,41.45
2025-10-31,42.1
2025-11-03,42.8
2025-11-04,42.75
2025-11-05,43.51
2025-11-06,43.91
2025-11-07,45.0
2025-11-10,45.37
2025-11-11,46.03
2025-11-12,44.89
2025-11-13,44.82
2025-11-14,44.44
2025-11-17,43.97
2025-11-18,43.44
2025-11-19,43.65
2025-11-21,43.22
2025-11-24,43.19
2025-11-25,42.96
2025-11-26,44.4
2025-11-27,44.05
2025-11-28,44.25
2025-12-01,45.18
2025-12-02,45.61
2025-12-03,45.05
2025-12-04,45.5
2025-12-05,46.7
2025-12-08,47.77
2025-12-09,47.66
2025-12-10,48.47
2025-12-11,48.55
2025-12-12,49.52
2025-12-15,49.68
2025-12-16,49.94
2025-12-17,49.8
2025-12-18,50.0
2025-12-19,49.72
2025-12-22,47.66
2025-12-23,48.28
2025-12-26,48.75
2025-12-29,48.71
2025-12-30,48.51
