DATAPREG,PREULT
2026-01-02,21.68
2026-01-05,21.88
2026-01-06,22.12
2026-01-07,21.7
2026-01-08,21.82
2026-01-09,21.86
2026-01-12,21.87
2026-01-13,21.2
2026-01-14,21.5
2026-01-15,21.46
2026-01-16,21.37
2026-01-19,21.31
2026-01-20,21.54
2026-01-21,22.4
2026-01-22,23.45
2026-01-23,24.28
2026-01-26,24.4
2026-01-27,24.69
2026-01-28,25.4
2026-01-29,25.5
2026-01-30,25.22
2026-02-02,25.3
2026-02-03,25.69
2026-02-04,25.1
2026-02-05,24.44
2026-02-06,24.33
2026-02-09,24.82
2026-02-10,24.8
2026-02-11,24.91
2026-02-12,26.03
2026-02-13,25.43
2026-02-18,25.82
2026-02-19,26.46
2026-02-20,26.99
2026-02-23,26.83
2026-02-24,27.12
2026-02-25,27.58
2026-02-26,27.28
2026-02-27,26.95
