DATAPREG,PREULT
2026-01-02,18.22
2026-01-05,18.97
2026-01-06,19.08
2026-01-07,18.84
2026-01-08,18.52
2026-01-09,18.54
2026-01-12,18.4
2026-01-13,18.19
2026-01-14,18.52
2026-01-15,18.9
2026-01-16,18.91
2026-01-19,18.9
2026-01-20,19.17
2026-01-21,19.76
2026-01-22,20.3
2026-01-23,20.79
2026-01-26,20.88
2026-01-27,21.43
2026-01-28,21.72
2026-01-29,21.44
2026-01-30,21.31
2026-02-02,21.58
2026-02-03,21.68
2026-02-04,20.98
2026-02-05,21.15
2026-02-06,20.61
2026-02-09,20.91
2026-02-10,20.92
2026-02-11,21.54
2026-02-12,21.23
2026-02-13,20.97
2026-02-18,20.91
2026-02-19,21.33
2026-02-20,21.76
2026-02-23,21.23
2026-02-24,21.4
2026-02-25,21.17
2026-02-26,20.98
2026-02-27,21.15
