DATAPREG,PREULT
2026-01-02,88.59
2026-01-05,92.89
2026-01-06,93.08
2026-01-07,93.91
2026-01-08,94.84
2026-01-09,95.85
2026-01-12,97.93
2026-01-13,97.09
2026-01-14,96.28
2026-01-15,98.97
2026-01-16,99.3
2026-01-19,99.33
2026-01-20,98.61
2026-01-21,99.69
2026-01-22,102.96
2026-01-23,103.96
2026-01-26,102.4
2026-01-27,103.42
2026-01-28,99.77
2026-01-29,97.36
2026-01-30,96.95
2026-02-02,97.24
2026-02-03,95.75
2026-02-04,92.17
2026-02-05,91.8
2026-02-06,91.75
2026-02-09,94.01
2026-02-10,93.93
2026-02-11,93.37
2026-02-12,93.4
2026-02-13,92.84
2026-02-18,94.33
2026-02-19,94.63
2026-02-20,95.71
2026-02-23,93.54
2026-02-24,94.3
2026-02-25,92.48
2026-02-26,94.36
2026-02-27,92.42
