DATAPREG,PREULT
2026-01-02,20.02
2026-01-05,20.1
2026-01-06,20.37
2026-01-07,20.02
2026-01-08,20.53
2026-01-09,20.76
2026-01-12,20.73
2026-01-13,20.48
2026-01-14,21.29
2026-01-15,20.9
2026-01-16,20.6
2026-01-19,20.85
2026-01-20,20.94
2026-01-21,21.55
2026-01-22,22.38
2026-01-23,22.49
2026-01-26,22.06
2026-01-27,21.46
2026-01-28,21.53
2026-01-29,21.17
2026-01-30,21.12
2026-02-02,21.0
2026-02-03,21.17
2026-02-04,20.81
2026-02-05,21.58
2026-02-06,21.89
2026-02-09,21.94
2026-02-10,19.82
2026-02-11,20.21
2026-02-12,19.84
2026-02-13,21.44
2026-02-18,21.29
2026-02-19,21.9
2026-02-20,22.2
2026-02-23,21.82
2026-02-24,22.07
2026-02-25,21.55
2026-02-26,21.6
2026-02-27,21.4
