DATAPREG,PREULT
2026-01-02,39.15
2026-01-05,39.72
2026-01-06,39.96
2026-01-07,39.32
2026-01-08,39.93
2026-01-09,39.85
2026-01-12,39.49
2026-01-13,39.17
2026-01-14,39.6
2026-01-15,39.94
2026-01-16,39.61
2026-01-19,39.55
2026-01-20,39.92
2026-01-21,41.67
2026-01-22,43.08
2026-01-23,43.57
2026-01-26,44.15
2026-01-27,45.32
2026-01-28,46.34
2026-01-29,46.15
2026-01-30,45.5
2026-02-02,45.88
2026-02-03,46.14
2026-02-04,44.62
2026-02-05,45.52
2026-02-06,46.75
2026-02-09,48.31
2026-02-10,48.42
2026-02-11,49.37
2026-02-12,48.24
2026-02-13,47.77
2026-02-18,47.99
2026-02-19,48.55
2026-02-20,49.23
2026-02-23,47.45
2026-02-24,48.17
2026-02-25,47.79
2026-02-26,47.67
2026-02-27,46.78
