DATAPREG,PREULT
2026-01-02,30.71
2026-01-05,30.2
2026-01-06,29.64
2026-01-07,29.83
2026-01-08,30.2
2026-01-09,30.3
2026-01-12,30.36
2026-01-13,31.14
2026-01-14,31.99
2026-01-15,31.79
2026-01-16,32.04
2026-01-19,32.17
2026-01-20,32.29
2026-01-21,33.43
2026-01-22,33.58
2026-01-23,35.04
2026-01-26,35.36
2026-01-27,36.13
2026-01-28,37.34
2026-01-29,37.7
2026-01-30,37.76
2026-02-02,37.24
2026-02-03,37.58
2026-02-04,37.52
2026-02-05,37.0
2026-02-06,36.65
2026-02-09,37.32
2026-02-10,37.35
2026-02-11,38.08
2026-02-12,37.11
2026-02-13,36.89
2026-02-18,37.19
2026-02-19,37.81
2026-02-20,37.97
2026-02-23,38.59
2026-02-24,39.57
2026-02-25,39.57
2026-02-26,39.61
2026-02-27,39.33
