DATAPREG,PREULT
2026-01-02,40.47
2026-01-05,40.95
2026-01-06,42.5
2026-01-07,40.99
2026-01-08,40.67
2026-01-09,41.19
2026-01-12,41.16
2026-01-13,40.22
2026-01-14,40.34
2026-01-15,40.32
2026-01-16,40.25
2026-01-19,40.45
2026-01-20,40.14
2026-01-21,41.05
2026-01-22,43.39
2026-01-23,43.95
2026-01-26,44.09
2026-01-27,43.6
2026-01-28,44.15
2026-01-29,42.73
2026-01-30,42.39
2026-02-02,43.88
2026-02-03,42.64
2026-02-04,41.66
2026-02-05,41.61
2026-02-06,41.53
2026-02-09,42.16
2026-02-10,41.3
2026-02-11,42.15
2026-02-12,42.4
2026-02-13,42.66
2026-02-18,42.83
2026-02-19,44.64
2026-02-20,45.09
2026-02-23,43.56
2026-02-24,43.47
2026-02-25,43.52
2026-02-26,41.55
2026-02-27,40.3
