DATAPREG,PREULT
2026-01-02,25.76
2026-01-05,25.53
2026-01-06,25.58
2026-01-07,25.48
2026-01-08,25.6
2026-01-09,25.53
2026-01-12,25.52
2026-01-13,25.41
2026-01-14,25.91
2026-01-15,25.96
2026-01-16,25.63
2026-01-19,25.36
2026-01-20,25.8
2026-01-21,26.95
2026-01-22,27.89
2026-01-23,28.4
2026-01-26,28.53
2026-01-27,28.77
2026-01-28,29.09
2026-01-29,28.67
2026-01-30,28.76
2026-02-02,29.62
2026-02-03,30.15
2026-02-04,29.79
2026-02-05,30.89
2026-02-06,31.76
2026-02-09,31.73
2026-02-10,31.35
2026-02-11,31.96
2026-02-12,31.82
2026-02-13,31.73
2026-02-18,31.5
2026-02-19,31.57
2026-02-20,31.83
2026-02-23,30.28
2026-02-24,31.0
2026-02-25,30.74
2026-02-26,30.8
2026-02-27,29.92
