DATAPREG,PREULT
2025-09-01,45.0
2025-09-02,44.96
2025-09-03,44.5
2025-09-04,44.9
2025-09-05,45.54
2025-09-08,45.13
2025-09-09,45.53
2025-09-10,45.63
2025-09-11,46.3
2025-09-12,46.3
2025-09-15,47.7
2025-09-16,47.96
2025-09-17,48.8
2025-09-18,49.0
2025-09-19,50.55
2025-09-22,49.74
2025-09-23,50.7
2025-09-24,50.7
2025-09-25,50.4
2025-09-26,50.69
2025-09-29,52.68
2025-09-30,52.52
2025-10-01,52.82
2025-10-02,52.4
2025-10-03,52.39
2025-10-06,52.44
2025-10-07,51.59
2025-10-08,52.17
2025-10-09,52.01
2025-10-10,51.95
2025-10-13,52.03
2025-10-14,51.84
2025-10-15,53.05
2025-10-16,53.29
2025-10-17,54.63
2025-10-20,54.93
2025-10-21,54.93
2025-10-22,54.11
2025-10-23,54.1
2025-10-24,54.15
2025-10-27,54.35
2025-10-28,54.27
2025-10-29,54.94
2025-10-30,55.55
2025-10-31,55.72
2025-11-03,56.21
2025-11-04,56.67
2025-11-05,57.76
2025-11-06,58.2
2025-11-07,58.68
2025-11-10,59.5
2025-11-11,61.0
2025-11-12,61.7
2025-11-13,61.6
2025-11-14,62.6
2025-11-17,61.05
2025-11-18,61.31
2025-11-19,60.82
2025-11-21,61.03
2025-11-24,61.58
2025-11-25,62.56
2025-11-26,64.1
2025-11-27,63.2
2025-11-28,62.5
2025-12-01,62.68
2025-12-02,63.84
2025-12-03,64.69
2025-12-04,66.65
2025-12-05,63.1
2025-12-08,63.82
2025-12-09,64.79
2025-12-10,63.56
2025-12-11,62.84
2025-12-12,63.89
2025-12-15,65.15
2025-12-16,63.12
2025-12-17,62.41
2025-12-18,62.34
2025-12-19,62.8
2025-12-22,48.65
2025-12-23,49.95
2025-12-26,49.88
2025-12-29,49.9
2025-12-30,50.61
2026-01-02,50.0
2026-01-05,50.25
2026-01-06,51.96
2026-01-07,49.51
2026-01-08,51.2
2026-01-09,51.35
2026-01-12,50.7
2026-01-13,49.47
2026-01-14,50.93
2026-01-15,51.39
2026-01-16,50.5
2026-01-19,50.8
2026-01-20,51.3
2026-01-21,52.83
2026-01-22,54.69
2026-01-23,54.37
2026-01-26,53.38
2026-01-27,53.91
2026-01-28,55.5
2026-01-29,54.76
2026-01-30,54.37
2026-02-02,55.6
2026-02-03,56.74
2026-02-04,54.98
2026-02-05,56.9
2026-02-06,57.63
2026-02-09,58.63
2026-02-10,58.85
2026-02-11,59.55
2026-02-12,58.89
2026-02-13,58.43
2026-02-18,58.58
2026-02-19,61.18
2026-02-20,61.2
2026-02-23,60.53
2026-02-24,61.38
2026-02-25,62.03
2026-02-26,62.92
2026-02-27,61.27
