DATAPREG,PREULT
2025-09-01,12.98
2025-09-02,12.75
2025-09-03,12.95
2025-09-04,13.09
2025-09-05,13.38
2025-09-08,13.14
2025-09-09,13.01
2025-09-10,12.97
2025-09-11,13.12
2025-09-12,12.95
2025-09-15,13.37
2025-09-16,13.48
2025-09-17,13.72
2025-09-18,13.73
2025-09-19,13.66
2025-09-22,13.5
2025-09-23,13.34
2025-09-24,13.17
2025-09-25,12.95
2025-09-26,13.22
2025-09-29,13.4
2025-09-30,13.4
2025-10-01,13.09
2025-10-02,12.84
2025-10-03,12.75
2025-10-06,12.64
2025-10-07,12.24
2025-10-08,12.66
2025-10-09,12.79
2025-10-10,12.6
2025-10-13,12.71
2025-10-14,12.55
2025-10-15,12.64
2025-10-16,12.6
2025-10-17,12.56
2025-10-20,12.66
2025-10-21,12.33
2025-10-22,12.45
2025-10-23,12.59
2025-10-24,12.5
2025-10-27,12.53
2025-10-28,12.63
2025-10-29,12.64
2025-10-30,12.6
2025-10-31,12.66
2025-11-03,12.84
2025-11-04,12.84
2025-11-05,13.2
2025-11-06,13.1
2025-11-07,12.98
2025-11-10,13.12
2025-11-11,13.53
2025-11-12,14.12
2025-11-13,14.47
2025-11-14,14.44
2025-11-17,14.16
2025-11-18,14.05
2025-11-19,13.85
2025-11-21,13.89
2025-11-24,13.98
2025-11-25,14.17
2025-11-26,14.71
2025-11-27,14.73
2025-11-28,14.96
2025-12-01,14.89
2025-12-02,15.1
2025-12-03,14.79
2025-12-04,15.02
2025-12-05,14.01
2025-12-08,14.35
2025-12-09,14.12
2025-12-10,14.21
2025-12-11,14.3
2025-12-12,14.33
2025-12-15,14.41
2025-12-16,13.72
2025-12-17,13.25
2025-12-18,13.3
2025-12-19,13.39
2025-12-22,13.24
2025-12-23,13.53
2025-12-26,13.72
2025-12-29,13.79
2025-12-30,13.89
2026-01-02,13.43
2026-01-05,13.95
2026-01-06,14.5
2026-01-07,14.28
2026-01-08,14.38
2026-01-09,14.46
2026-01-12,14.49
2026-01-13,14.31
2026-01-14,14.73
2026-01-15,15.12
2026-01-16,15.24
2026-01-19,15.1
2026-01-20,14.67
2026-01-21,15.5
2026-01-22,15.62
2026-01-23,15.82
2026-01-26,15.68
2026-01-27,16.16
2026-01-28,16.51
2026-01-29,16.68
2026-01-30,16.15
2026-02-02,16.35
2026-02-03,16.45
2026-02-04,15.77
2026-02-05,16.26
2026-02-06,17.04
2026-02-09,17.62
2026-02-10,17.45
2026-02-11,17.29
2026-02-12,17.36
2026-02-13,17.46
2026-02-18,17.61
2026-02-19,17.75
2026-02-20,18.08
2026-02-23,17.86
2026-02-24,18.22
2026-02-25,18.14
2026-02-26,17.95
2026-02-27,17.9
