DATAPREG,PREULT
2025-09-01,21.09
2025-09-02,20.42
2025-09-03,20.28
2025-09-04,20.42
2025-09-05,21.15
2025-09-08,20.95
2025-09-09,21.4
2025-09-10,22.05
2025-09-11,22.22
2025-09-12,22.31
2025-09-15,21.82
2025-09-16,21.94
2025-09-17,21.87
2025-09-18,22.1
2025-09-19,21.62
2025-09-22,21.51
2025-09-23,22.13
2025-09-24,22.11
2025-09-25,21.79
2025-09-26,22.11
2025-09-29,22.12
2025-09-30,22.09
2025-10-01,21.93
2025-10-02,21.76
2025-10-03,21.58
2025-10-06,21.41
2025-10-07,21.21
2025-10-08,21.12
2025-10-09,21.19
2025-10-10,20.61
2025-10-13,20.88
2025-10-14,20.7
2025-10-15,20.32
2025-10-16,20.37
2025-10-17,20.9
2025-10-20,20.77
2025-10-21,20.54
2025-10-22,20.69
2025-10-23,20.65
2025-10-24,20.52
2025-10-27,20.85
2025-10-28,20.96
2025-10-29,21.22
2025-10-30,21.63
2025-10-31,21.9
2025-11-03,22.08
2025-11-04,22.27
2025-11-05,22.61
2025-11-06,22.86
2025-11-07,22.89
2025-11-10,22.78
2025-11-11,23.47
2025-11-12,22.8
2025-11-13,22.5
2025-11-14,22.44
2025-11-17,22.5
2025-11-18,21.88
2025-11-19,21.58
2025-11-21,22.0
2025-11-24,21.84
2025-11-25,21.97
2025-11-26,22.22
2025-11-27,22.16
2025-11-28,22.47
2025-12-01,22.26
2025-12-02,22.56
2025-12-03,22.38
2025-12-04,22.77
2025-12-05,21.16
2025-12-08,21.6
2025-12-09,21.49
2025-12-10,21.6
2025-12-11,21.57
2025-12-12,21.7
2025-12-15,22.01
2025-12-16,21.71
2025-12-17,21.55
2025-12-18,21.59
2025-12-19,21.44
2025-12-22,21.3
2025-12-23,21.75
2025-12-26,21.85
2025-12-29,21.72
2025-12-30,21.92
2026-01-02,21.68
2026-01-05,21.88
2026-01-06,22.12
2026-01-07,21.7
2026-01-08,21.82
2026-01-09,21.86
2026-01-12,21.87
2026-01-13,21.2
2026-01-14,21.5
2026-01-15,21.46
2026-01-16,21.37
2026-01-19,21.31
2026-01-20,21.54
2026-01-21,22.4
2026-01-22,23.45
2026-01-23,24.28
2026-01-26,24.4
2026-01-27,24.69
2026-01-28,25.4
2026-01-29,25.5
2026-01-30,25.22
2026-02-02,25.3
2026-02-03,25.69
2026-02-04,25.1
2026-02-05,24.44
2026-02-06,24.33
2026-02-09,24.82
2026-02-10,24.8
2026-02-11,24.91
2026-02-12,26.03
2026-02-13,25.43
2026-02-18,25.82
2026-02-19,26.46
2026-02-20,26.99
2026-02-23,26.83
2026-02-24,27.12
2026-02-25,27.58
2026-02-26,27.28
2026-02-27,26.95
