DATAPREG,PREULT
2025-09-01,16.72
2025-09-02,16.51
2025-09-03,16.5
2025-09-04,16.83
2025-09-05,17.24
2025-09-08,17.15
2025-09-09,16.99
2025-09-10,16.87
2025-09-11,17.03
2025-09-12,16.83
2025-09-15,17.03
2025-09-16,16.99
2025-09-17,17.58
2025-09-18,17.4
2025-09-19,17.71
2025-09-22,17.74
2025-09-23,17.85
2025-09-24,17.71
2025-09-25,17.57
2025-09-26,17.66
2025-09-29,17.84
2025-09-30,17.69
2025-10-01,17.39
2025-10-02,17.09
2025-10-03,17.1
2025-10-06,17.0
2025-10-07,16.72
2025-10-08,16.99
2025-10-09,17.08
2025-10-10,16.85
2025-10-13,16.92
2025-10-14,17.16
2025-10-15,17.36
2025-10-16,17.56
2025-10-17,17.68
2025-10-20,18.01
2025-10-21,17.77
2025-10-22,17.79
2025-10-23,17.98
2025-10-24,18.08
2025-10-27,18.23
2025-10-28,18.24
2025-10-29,18.83
2025-10-30,18.1
2025-10-31,18.16
2025-11-03,18.36
2025-11-04,18.4
2025-11-05,18.79
2025-11-06,18.71
2025-11-07,18.73
2025-11-10,19.08
2025-11-11,19.49
2025-11-12,19.44
2025-11-13,19.48
2025-11-14,19.47
2025-11-17,19.32
2025-11-18,19.09
2025-11-19,18.9
2025-11-21,18.79
2025-11-24,18.8
2025-11-25,18.95
2025-11-26,19.52
2025-11-27,19.48
2025-11-28,19.65
2025-12-01,19.35
2025-12-02,19.54
2025-12-03,19.0
2025-12-04,19.27
2025-12-05,18.12
2025-12-08,18.25
2025-12-09,18.01
2025-12-10,18.33
2025-12-11,18.54
2025-12-12,18.66
2025-12-15,18.92
2025-12-16,18.4
2025-12-17,18.25
2025-12-18,18.33
2025-12-19,18.5
2025-12-22,18.24
2025-12-23,18.41
2025-12-26,18.4
2025-12-29,18.49
2025-12-30,18.19
2026-01-02,18.22
2026-01-05,18.97
2026-01-06,19.08
2026-01-07,18.84
2026-01-08,18.52
2026-01-09,18.54
2026-01-12,18.4
2026-01-13,18.19
2026-01-14,18.52
2026-01-15,18.9
2026-01-16,18.91
2026-01-19,18.9
2026-01-20,19.17
2026-01-21,19.76
2026-01-22,20.3
2026-01-23,20.79
2026-01-26,20.88
2026-01-27,21.43
2026-01-28,21.72
2026-01-29,21.44
2026-01-30,21.31
2026-02-02,21.58
2026-02-03,21.68
2026-02-04,20.98
2026-02-05,21.15
2026-02-06,20.61
2026-02-09,20.91
2026-02-10,20.92
2026-02-11,21.54
2026-02-12,21.23
2026-02-13,20.97
2026-02-18,20.91
2026-02-19,21.33
2026-02-20,21.76
2026-02-23,21.23
2026-02-24,21.4
2026-02-25,21.17
2026-02-26,20.98
2026-02-27,21.15
