DATAPREG,PREULT
2025-09-01,15.12
2025-09-02,14.89
2025-09-03,14.95
2025-09-04,15.1
2025-09-05,15.18
2025-09-08,15.16
2025-09-09,15.31
2025-09-10,15.64
2025-09-11,15.61
2025-09-12,15.92
2025-09-15,15.85
2025-09-16,15.92
2025-09-17,16.29
2025-09-18,16.34
2025-09-19,16.6
2025-09-22,16.38
2025-09-23,16.51
2025-09-24,16.52
2025-09-25,16.35
2025-09-26,16.66
2025-09-29,16.76
2025-09-30,16.55
2025-10-01,16.79
2025-10-02,16.53
2025-10-03,16.59
2025-10-06,16.43
2025-10-07,16.08
2025-10-08,16.47
2025-10-09,16.51
2025-10-10,16.42
2025-10-13,16.48
2025-10-14,16.31
2025-10-15,16.52
2025-10-16,16.67
2025-10-17,16.7
2025-10-20,16.74
2025-10-21,16.5
2025-10-22,16.6
2025-10-23,16.7
2025-10-24,17.41
2025-10-27,17.88
2025-10-28,17.8
2025-10-29,18.05
2025-10-30,18.12
2025-10-31,18.31
2025-11-03,18.79
2025-11-04,18.71
2025-11-05,18.9
2025-11-06,19.15
2025-11-07,19.07
2025-11-10,19.35
2025-11-11,19.29
2025-11-12,19.25
2025-11-13,19.29
2025-11-14,19.49
2025-11-17,19.39
2025-11-18,19.29
2025-11-19,19.01
2025-11-21,19.05
2025-11-24,19.1
2025-11-25,19.41
2025-11-26,20.2
2025-11-27,20.04
2025-11-28,19.87
2025-12-01,20.55
2025-12-02,21.02
2025-12-03,20.53
2025-12-04,20.79
2025-12-05,19.85
2025-12-08,19.73
2025-12-09,19.93
2025-12-10,20.03
2025-12-11,20.22
2025-12-12,20.56
2025-12-15,20.85
2025-12-16,20.23
2025-12-17,19.78
2025-12-18,19.97
2025-12-19,19.92
2025-12-22,19.65
2025-12-23,20.26
2025-12-26,20.09
2025-12-29,19.92
2025-12-30,20.18
2026-01-02,20.02
2026-01-05,20.1
2026-01-06,20.37
2026-01-07,20.02
2026-01-08,20.53
2026-01-09,20.76
2026-01-12,20.73
2026-01-13,20.48
2026-01-14,21.29
2026-01-15,20.9
2026-01-16,20.6
2026-01-19,20.85
2026-01-20,20.94
2026-01-21,21.55
2026-01-22,22.38
2026-01-23,22.49
2026-01-26,22.06
2026-01-27,21.46
2026-01-28,21.53
2026-01-29,21.17
2026-01-30,21.12
2026-02-02,21.0
2026-02-03,21.17
2026-02-04,20.81
2026-02-05,21.58
2026-02-06,21.89
2026-02-09,21.94
2026-02-10,19.82
2026-02-11,20.21
2026-02-12,19.84
2026-02-13,21.44
2026-02-18,21.29
2026-02-19,21.9
2026-02-20,22.2
2026-02-23,21.82
2026-02-24,22.07
2026-02-25,21.55
2026-02-26,21.6
2026-02-27,21.4
