DATAPREG,PREULT
2025-09-01,11.28
2025-09-02,11.1
2025-09-03,10.97
2025-09-04,11.03
2025-09-05,11.15
2025-09-08,11.1
2025-09-09,11.06
2025-09-10,11.08
2025-09-11,11.09
2025-09-12,11.0
2025-09-15,11.15
2025-09-16,11.14
2025-09-17,11.35
2025-09-18,11.36
2025-09-19,11.42
2025-09-22,11.3
2025-09-23,11.45
2025-09-24,11.39
2025-09-25,11.29
2025-09-26,11.38
2025-09-29,11.46
2025-09-30,11.47
2025-10-01,11.3
2025-10-02,11.16
2025-10-03,11.22
2025-10-06,11.17
2025-10-07,10.95
2025-10-08,11.03
2025-10-09,10.98
2025-10-10,10.95
2025-10-13,11.0
2025-10-14,11.01
2025-10-15,11.01
2025-10-16,10.98
2025-10-17,11.0
2025-10-20,11.23
2025-10-21,11.12
2025-10-22,11.24
2025-10-23,11.24
2025-10-24,11.28
2025-10-27,11.32
2025-10-28,11.36
2025-10-29,11.59
2025-10-30,11.54
2025-10-31,11.65
2025-11-03,11.78
2025-11-04,11.74
2025-11-05,11.8
2025-11-06,11.84
2025-11-07,11.81
2025-11-10,11.83
2025-11-11,12.15
2025-11-12,11.87
2025-11-13,11.94
2025-11-14,11.96
2025-11-17,11.92
2025-11-18,11.84
2025-11-19,11.75
2025-11-21,11.78
2025-11-24,11.81
2025-11-25,11.81
2025-11-26,12.1
2025-11-27,12.03
2025-11-28,12.33
2025-12-01,12.24
2025-12-02,12.54
2025-12-03,12.56
2025-12-04,12.91
2025-12-05,12.36
2025-12-08,12.42
2025-12-09,12.36
2025-12-10,11.61
2025-12-11,11.7
2025-12-12,11.79
2025-12-15,12.0
2025-12-16,11.6
2025-12-17,11.53
2025-12-18,11.6
2025-12-19,11.47
2025-12-22,11.46
2025-12-23,11.59
2025-12-26,11.6
2025-12-29,11.59
2025-12-30,11.68
2026-01-02,11.63
2026-01-05,11.91
2026-01-06,11.96
2026-01-07,11.77
2026-01-08,12.07
2026-01-09,12.11
2026-01-12,12.0
2026-01-13,11.96
2026-01-14,12.03
2026-01-15,12.18
2026-01-16,12.03
2026-01-19,11.98
2026-01-20,12.11
2026-01-21,12.72
2026-01-22,13.19
2026-01-23,13.36
2026-01-26,13.49
2026-01-27,13.85
2026-01-28,14.04
2026-01-29,13.88
2026-01-30,13.66
2026-02-02,13.86
2026-02-03,14.01
2026-02-04,13.58
2026-02-05,13.84
2026-02-06,14.18
2026-02-09,14.59
2026-02-10,14.62
2026-02-11,15.0
2026-02-12,14.67
2026-02-13,14.6
2026-02-18,14.59
2026-02-19,14.8
2026-02-20,15.07
2026-02-23,14.59
2026-02-24,14.84
2026-02-25,14.62
2026-02-26,14.65
2026-02-27,14.27
