DATAPREG,PREULT
2025-09-01,38.78
2025-09-02,38.12
2025-09-03,37.79
2025-09-04,37.94
2025-09-05,38.36
2025-09-08,38.18
2025-09-09,37.85
2025-09-10,37.88
2025-09-11,37.95
2025-09-12,37.38
2025-09-15,38.0
2025-09-16,37.9
2025-09-17,38.44
2025-09-18,38.49
2025-09-19,39.0
2025-09-22,38.44
2025-09-23,39.05
2025-09-24,38.79
2025-09-25,38.48
2025-09-26,38.67
2025-09-29,38.89
2025-09-30,39.07
2025-10-01,38.35
2025-10-02,37.93
2025-10-03,38.21
2025-10-06,37.77
2025-10-07,37.17
2025-10-08,37.24
2025-10-09,37.18
2025-10-10,37.14
2025-10-13,37.29
2025-10-14,37.45
2025-10-15,37.45
2025-10-16,37.36
2025-10-17,37.49
2025-10-20,38.16
2025-10-21,37.8
2025-10-22,38.11
2025-10-23,38.08
2025-10-24,38.03
2025-10-27,38.35
2025-10-28,38.48
2025-10-29,39.34
2025-10-30,39.29
2025-10-31,39.44
2025-11-03,40.08
2025-11-04,39.96
2025-11-05,40.13
2025-11-06,40.13
2025-11-07,40.17
2025-11-10,40.44
2025-11-11,41.22
2025-11-12,40.28
2025-11-13,40.44
2025-11-14,40.6
2025-11-17,40.3
2025-11-18,40.1
2025-11-19,39.85
2025-11-21,39.97
2025-11-24,39.82
2025-11-25,39.91
2025-11-26,40.85
2025-11-27,40.71
2025-11-28,41.64
2025-12-01,41.3
2025-12-02,42.22
2025-12-03,42.22
2025-12-04,43.26
2025-12-05,41.26
2025-12-08,41.46
2025-12-09,41.37
2025-12-10,39.44
2025-12-11,39.41
2025-12-12,39.76
2025-12-15,40.36
2025-12-16,39.32
2025-12-17,38.97
2025-12-18,39.17
2025-12-19,39.53
2025-12-22,39.61
2025-12-23,40.26
2025-12-26,39.1
2025-12-29,38.98
2025-12-30,39.23
2026-01-02,39.15
2026-01-05,39.72
2026-01-06,39.96
2026-01-07,39.32
2026-01-08,39.93
2026-01-09,39.85
2026-01-12,39.49
2026-01-13,39.17
2026-01-14,39.6
2026-01-15,39.94
2026-01-16,39.61
2026-01-19,39.55
2026-01-20,39.92
2026-01-21,41.67
2026-01-22,43.08
2026-01-23,43.57
2026-01-26,44.15
2026-01-27,45.32
2026-01-28,46.34
2026-01-29,46.15
2026-01-30,45.5
2026-02-02,45.88
2026-02-03,46.14
2026-02-04,44.62
2026-02-05,45.52
2026-02-06,46.75
2026-02-09,48.31
2026-02-10,48.42
2026-02-11,49.37
2026-02-12,48.24
2026-02-13,47.77
2026-02-18,47.99
2026-02-19,48.55
2026-02-20,49.23
2026-02-23,47.45
2026-02-24,48.17
2026-02-25,47.79
2026-02-26,47.67
2026-02-27,46.78
