Mes-Anos,Compras(A),Vendas(B),IPO(C),A+C-B(Saldo)
202501,289209.8,282385.4,0.0,6824.3
202502,289386.7,288687.4,0.0,699.3
202503,272230.0,269111.7,344.5,3462.8
202504,323322.2,323455.8,0.0,-133.6
202505,327029.2,316447.5,80.5,10662.2
202506,289016.1,283657.4,30.9,5389.7
202507,271637.3,278009.3,104.2,-6267.7
202508,274825.0,273656.7,0.0,1168.3
202509,278884.7,273617.6,0.0,5267.1
202510,299445.7,300672.2,94.5,-1132.0
N202511,311447.0,309386.2,489.3,2550.1
202512,339636.1,341509.6,253.3,-1620.1
202601,421435.4,395121.9,157.7,26471.3
202602,140894.5,136122.2,0.0,4772.3
20260210,562330.0,531244.1,157.7,31243.6
2025,3566070.0,3540596.7,1397.2,26870.4
2024,3355063.0,3387171.0,7909.9,-24198.2
2023,3421173.4,3376320.1,11101.3,55954.6
2022,4147649.8,4046825.6,18970.2,119794.3
2021,4179722.7,4186875.1,48690.4,41538.0
2020,3425799.8,3465463.3,40364.6,701.2
2019,1895754.5,1940271.9,38019.0,-6498.4
2018,1487106.1,1498627.2,6689.6,-4831.5
2017,1045625.5,1031271.5,25200.8,39554.8
2016,967617.6,953292.2,5216.1,19541.5
