2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
ACES3,ACES3,ACES3,ACES3,ACES3,ACES3,ABNB3,ABCB4,ABCB4,ABCB4,ABCB4,ABCB4,ABCB4,ABCB4,ABCB4,ABCB4,AALR3,AALR3,AALR3,AALR3,AALR3,AALR3,AALR3,AALR3,AALR3,AALR3,AALR3
ACES4,ACES4,ACES4,ACES4,ACES4,ACES4,ABYA3,ABNB3,ABNB3,ABNB3,ABNB3,AEDU3,AEDU3,ABEV3,ABEV3,ABEV3,ABCB4,ABCB4,ABCB4,ABCB4,ABCB4,ABCB4,ABCB4,ABCB4,ABCB4,ABCB4,ABCB4
AESL3,AESL3,AELP3,AELP3,AELP3,AELP3,ACES3,ABYA3,ABYA3,ABYA3,ABYA3,AELP3,AELP3,AEDU3,ABRE3,ABRE3,ABEV3,ABEV3,ABEV3,ABEV3,ABEV3,ABEV3,ABEV3,ABEV3,ABEV3,ABEV3,ABEV3
AGRA4,AESL4,AESL3,AESL3,AESL3,AESL3,ACES4,ACES3,ACES3,ACGU3,ACGU3,AFLT3,AFLT3,AELP3,AEDU3,AELP3,AELP3,ADHM3,ADHM3,ADHM3,ADHM3,AERI3,AERI3,AERI3,AERI3,ADMF3,ADMF3
AHEB3,AHEB3,AESL4,AHEB3,AESL4,AESL4,AELP3,ACES4,ACES4,AELP3,AEDU3,AFLU3,AFLU3,AFLT3,AELP3,AFLT3,AFLT3,AELP3,AELP3,AFLT3,AERI3,AESB3,AESB3,AESB3,AESB3,AERI3,AERI3
AHEB5,AHEB5,AHEB3,AHEB5,AHEB3,AHEB5,AFLU3,ACGU3,ACGU3,AFLU3,AELP3,AGRO3,AGRO3,AFLU3,AFLT3,AFLU3,AFLU3,AFLT3,AFLT3,AGRO3,AFLT3,AFLT3,AFLT3,AFLT3,AFLT3,AFLT3,AFLT3
AHEB6,AHEB6,AHEB5,AHEB6,AHEB5,ALBA3,AGRO3,AELP3,AELP3,AGIN3,AFLT3,AHEB5,AHEB3,AGRO3,AFLU3,AGRO3,AGRO3,AFLU3,AGRO3,AHEB3,AGRO3,AGRO3,AGRO3,AGRO3,AGRO3,AGRO3,AGRO3
ALBA3,ALBA3,AHEB6,ALBA3,AHEB6,ALLL3,ALLL3,AFLU3,AFLU3,AGRO3,AFLU3,AHEB6,AHEB5,AHEB3,AGRO3,AHEB3,AHEB3,AFLU5,AHEB3,AHEB5,AHEB3,AGXY3,AGXY3,AGXY3,AGXY3,AHEB3,AHEB3
ALPA3,ALPA3,ALBA3,ALPA3,ALBA3,ALLL4,ALLL4,AFLU5,AFLU5,AHEB3,AGEI3,ALLL3,AHEB6,AHEB5,AHEB5,AHEB6,AHEB5,AGRO3,AHEB6,ALPA3,AHEB5,AHEB3,AHEB3,AHEB3,AHEB3,AHEB5,ALLD3
ALPA4,ALPA4,ALPA3,ALPA4,ALLL3,ALPA3,ALPA3,AGIN3,AGIN3,AHEB5,AGIN3,ALPA3,ALLL3,ALLL3,ALLL3,ALLL3,AHEB6,AHEB3,ALPA3,ALPA4,AHEB6,AHEB5,AHEB6,AHEB5,AHEB5,AHEB6,ALOS3
AMBV3,AMBV3,ALPA4,AMBV3,ALLL4,ALPA4,ALPA4,AGRO3,AGRO3,ALLL3,AGRO3,ALPA4,ALPA3,ALPA3,ALPA3,ALPA3,ALPA3,AHEB5,ALPA4,ALSC3,ALPA3,AHEB6,ALLD3,AHEB6,AHEB6,ALLD3,ALPA3
AMBV4,AMBV4,AMBV3,AMBV4,ALPA3,AMBV3,AMBV3,AHEB5,AHEB3,ALLL4,AHEB3,ALSC3,ALPA4,ALPA4,ALPA4,ALPA4,ALPA4,AHEB6,ALSC3,ALSO3,ALPA4,ALLD3,ALPA3,ALLD3,ALLD3,ALOS3,ALPA4
AMLC4,AMCE3,AMBV4,AMLC4,ALPA4,AMBV4,AMBV4,AHEB6,ALLL3,ALPA3,AHEB5,AMAR3,ALSC3,ALSC3,ALSC3,ALSC3,ALSC3,ALPA3,ALUP3,ALUP3,ALPK3,ALPA3,ALPA4,ALOS3,ALOS3,ALPA3,ALPK3
APTI4,AMLC4,AMCE3,APTI4,AMBV3,APTI4,AMPI3,ALLL3,ALLL4,ALPA4,AHEB6,AMBV3,AMAR3,AMAR3,AMAR3,AMAR3,ALUP3,ALPA4,ALUP4,ALUP4,ALSO3,ALPA4,ALPK3,ALPA3,ALPA3,ALPA4,ALUP3
ARCZ3,APTI4,AMLC4,ARCZ3,AMBV4,ARCE3,APTI4,ALLL4,ALPA3,AMBV3,ALLL3,AMBV4,AMBV3,AMBV3,ANIM3,ANIM3,ALUP4,ALSC3,AMAR3,AMAR3,ALUP3,ALPK3,ALSO3,ALPA4,ALPA4,ALPK3,ALUP4
ARCZ5,ARCZ3,APTI4,ARCZ5,APTI4,ARCZ3,ARCE3,ALPA3,ALPA4,AMBV4,ALLL4,AMCE3,AMBV4,AMBV4,AORE3,AORE3,AMAR3,ALUP3,ANIM3,ANIM3,ALUP4,ALSO3,ALUP3,ALPK3,ALPK3,ALUP3,AMAR3
ARCZ6,ARCZ5,ARCZ3,ARCZ6,ARCZ3,ARCZ5,ARCZ3,ALPA4,AMBV3,AMCE3,ALPA3,AMIL3,AMCE3,AMIL3,ARTR3,APTI4,ANIM3,ALUP4,APER3,APER3,AMAR3,ALUP3,ALUP4,ALSO3,ALUP3,ALUP4,AMOB3
ARLA3,ARCZ6,ARCZ5,ARLA3,ARCZ5,ARCZ6,ARCZ5,AMBV3,AMBV4,AMIL3,ALPA4,AMPI3,AMIL3,ANIM3,ARZZ3,ARTR3,APTI4,AMAR3,APTI4,ARZZ3,AMBP3,ALUP4,AMAR3,ALUP3,ALUP4,AMAR3,ANIM3
ARLA4,ARLA3,ARCZ6,ARLA4,ARCZ6,ARLA4,ARCZ6,AMBV4,AMCE3,AMPI3,ALSC3,AORE3,AMPI3,AORE3,AUTM3,ARZZ3,ARTR3,ANIM3,ARZZ3,ATOM3,ANIM3,AMAR3,AMBP3,ALUP4,AMAR3,AMBP3,ARML3
ARTE3,ARLA4,ARLA3,ARTE3,ARLA3,ARTE3,ARLA3,AMIL3,AMIL3,ARCZ3,AMAR3,ARZZ3,AORE3,ARTR3,AZEV3,AZEV3,ARZZ3,APTI4,ATOM3,AZEV3,APER3,AMBP3,AMER3,AMAR3,AMBP3,AMOB3,ARND3
ARTE4,ARTE3,ARLA4,ARTE4,ARLA4,ARTE4,ARLA4,AMPI3,AMPI3,ARCZ5,AMBV3,AUTM3,ARTR3,ARZZ3,AZEV4,AZEV4,AZEV3,ARZZ3,AZEV3,AZEV4,ARZZ3,AMER3,ANIM3,AMBP3,AMOB3,ANIM3,ASAI3
ASSM3,ARTE4,ARPS3,ASSM3,ARTE3,ASSM3,ARTE3,APTI4,AMRI8,ARCZ6,AMBV4,AVIL3,ARZZ3,AUTM3,BAHI3,BAHI3,AZEV4,ATOM3,AZEV4,AZUL4,ATOM3,ANIM3,APER3,AMER3,ANIM3,ARML3,ATED3
