ano,bdr
2000,1707043543.95
2001,1208380579.15
2002,830177262.92
2003,237378796.06
2004,257762099.22
2005,378907811.92
2006,778028689.84
2007,5006004849.94
2008,5295652880.26
2009,5792615474.74
2010,17248705351.78
2011,7167330935.31
2012,6050679121.44
2013,6528391989.22
2014,7518708432.61
2015,7600857021.15
2016,6003998352.68
2017,5184465074.13
2018,7924830462.84
2019,6373263181.84
2020,31430805154.8
2021,121766655413.41
2022,146702294751.33
2023,104713596009.56
2024,156436844974.77
2025,230413015454.07
2026,58320805887.84
