ano,frac
2000,347848371.71
2001,217895919.55
2002,196721293.34
2003,335872504.97
2004,815713436.27
2005,1116078059.64
2006,1817962859.31
2007,3642536018.3
2008,3654491355.33
2009,2031607316.2
2010,1915092054.05
2011,1319810299.98
2012,1218109152.25
2013,1488391278.3
2014,1228639754.97
2015,1143780838.41
2016,1239676870.04
2017,1992174870.35
2018,3007467337.17
2019,9920140967.33
2020,32263186699.33
2021,37447594587.93
2022,20596786652.59
2023,18648355786.59
2024,19646611017.46
2025,18540192231.83
2026,3550582586.58
