ano,outros
2000,27751923356.87
2001,23892873393.31
2002,19922947471.44
2003,37529457953.56
2004,48835563496.14
2005,62350047282.22
2006,88544927239.57
2007,174774656135.08
2008,136708348913.95
2009,141663123956.79
2010,191389423886.7
2011,192557901291.21
2012,238387239188.43
2013,186520162045.23
2014,199540881679.95
2015,165102810121.78
2016,207144811015.34
2017,236799349643.69
2018,321558125252.5
2019,451871646208.55
2020,1012435181546.29
2021,1106005357590.09
2022,1020907371591.39
2023,864593470786.16
2024,931929614181.51
2025,1052994248785.07
2026,261733320057.13
