ano,units
2000,595835657.1
2001,2469864691.95
2002,1371832317.24
2003,3184400273.59
2004,4823579858.46
2005,5747348205.14
2006,8914826488.98
2007,49755553843.27
2008,55343465205.1
2009,41711371265.06
2010,37485885857.0
2011,46287379186.0
2012,64932788398.46
2013,64370465813.76
2014,77822470822.0
2015,67744382259.0
2016,88049902864.0
2017,104289835993.0
2018,131431024672.0
2019,301881494229.81
2020,415746465403.41
2021,493276367969.65
2022,418851418369.62
2023,333816873669.0
2024,336154925818.0
2025,360411111523.98
2026,98551355513.92
