Dia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
1,,60351.16,56883.99,55902.18,,,47229.59,49140.78,,53179.46,54013.24,
2,62550.1,,,54889.1,55321.93,,45228.95,48474.04,51835.15,53100.18,,51244.87
3,63312.46,,,55562.74,55488.08,53944.36,45044.03,,51625.5,52489.86,,50348.89
4,62523.06,59575.66,56499.17,54648.15,,54017.9,45763.16,,51716.16,52848.97,54436.92,50215.79
5,,59444.97,55950.73,55050.6,,52798.63,45210.49,48436.44,52351.86,,53831.85,50787.63
6,,58951.07,57940.14,,55429.88,52884.83,,47421.85,53749.42,,53384.6,50944.27
7,61932.54,58372.46,58846.81,,56274.66,51618.63,,47446.71,,52417.1,52740.79,
8,61127.84,58497.83,58432.75,55092.31,55804.8,,45075.5,48928.82,,52312.44,52248.86,
9,61578.58,,,55912.04,55447.56,,,49874.9,54251.85,52547.71,,51165.38
10,61678.31,,,56186.56,55107.8,51316.65,45483.43,,53979.03,52996.64,,50993.02
11,61497.43,,58544.79,55400.91,,49769.93,46626.26,,53570.46,53149.62,52623.87,50067.99
12,,,58208.61,54962.65,,49180.58,45533.24,50299.49,53307.09,,51804.33,50121.61
13,,58405.74,57385.9,,54447.77,50414.89,,50600.55,53797.51,,52230.29,50051.18
14,62080.79,58077.31,57281.02,,54666.82,49332.34,,50895.92,,54170.6,53451.6,
15,61727.61,57903.3,56869.28,52949.93,54936.41,,46738.9,50908.34,,54980.64,,
16,61787.35,,,53990.83,54772.62,,46869.29,51538.78,53821.63,55973.03,,50279.61
17,62194.06,,,52881.96,55164.27,49088.65,47407.31,,54271.25,55358.13,,50090.35
18,61956.14,57613.9,56972.96,53165.91,,49464.94,47656.92,,55702.9,55378.46,54307.04,50563.43
19,,57314.4,56361.24,53928.92,,47893.06,47400.23,51574.09,55095.69,,53032.91,51633.43
20,,56177.6,56030.03,,55700.77,48214.43,,50507.02,54110.03,,,51185.74
21,61899.71,56154.68,55576.67,,56265.32,47056.04,,50405.2,,56077.43,52688.02,
22,61692.29,56697.06,55243.4,54297.73,56429.27,,48574.09,51397.66,,56460.38,52800.74,
23,61966.26,,,54884.75,56349.91,,48819.52,52197.06,54602.38,55440.03,,51356.1
24,61169.83,,,54984.23,56406.21,45965.05,48374.23,,54431.05,54877.15,,
25,,56617.56,54873.12,54963.32,,46893.04,49066.75,,54261.11,54154.15,52263.51,
26,,56948.87,55671.39,54252.04,,47171.98,49422.05,51429.48,53782.97,,51446.91,51221.01
27,,57273.88,56034.29,,56395.94,47609.46,,50091.55,53738.92,,51861.21,51266.56
28,60027.07,57424.29,56352.09,,56036.26,47457.13,,49866.92,,55073.37,51846.83,
29,60406.33,,,54887.25,54634.69,,49212.33,49921.88,,54538.8,52482.49,
30,59336.7,,,55910.37,,,48561.78,50011.75,52338.19,54172.82,,51507.16
31,59761.49,,,,53506.08,,48234.49,,,54256.2,,
