IBOVESPA - 1/1/2015 12:00:00 AM 12/31/2026 12:00:00 AM;;
Mês;Ano;Valor
;;
1;2015;46907.68
2;2015;51583.09
3;2015;51150.16
4;2015;56229.38
5;2015;52760.47
6;2015;53080.88
7;2015;50864.77
8;2015;46625.52
9;2015;45059.34
10;2015;45868.81
11;2015;45120.36
12;2015;43349.96
1;2016;40405.99
2;2016;42793.86
3;2016;50055.27
4;2016;53910.50
5;2016;48471.70
6;2016;51526.92
7;2016;57308.20
8;2016;57901.10
9;2016;58367.04
10;2016;64924.51
11;2016;61906.35
12;2016;60227.28
1;2017;64670.78
2;2017;66662.10
3;2017;64984.06
4;2017;65403.24
5;2017;62711.47
6;2017;62899.97
7;2017;65920.36
8;2017;70835.05
9;2017;74293.50
10;2017;74308.49
11;2017;71970.99
12;2017;76402.08
1;2018;84912.70
2;2018;85353.60
3;2018;85365.56
4;2018;86115.50
5;2018;76753.61
6;2018;72762.52
7;2018;79220.44
8;2018;76677.53
9;2018;79342.43
10;2018;87423.55
11;2018;89504.03
12;2018;87887.27
1;2019;97393.75
2;2019;95584.35
3;2019;95414.56
4;2019;96353.33
5;2019;97030.32
6;2019;100967.20
7;2019;101812.13
8;2019;101134.61
9;2019;104745.32
10;2019;107219.83
11;2019;108233.28
12;2019;115645.34
1;2020;113760.57
2;2020;104171.57
3;2020;73019.76
4;2020;80505.89
5;2020;87402.59
6;2020;95055.82
7;2020;102912.24
8;2020;99369.15
9;2020;94603.38
10;2020;93952.40
11;2020;108893.32
12;2020;119017.24
1;2021;115067.55
2;2021;110035.17
3;2021;116633.72
4;2021;118893.84
5;2021;126215.73
6;2021;126801.66
7;2021;121800.79
8;2021;118781.03
9;2021;110979.10
10;2021;103500.71
11;2021;101915.45
12;2021;104822.44
1;2022;112143.51
2;2022;113141.94
3;2022;119999.23
4;2022;107876.16
5;2022;111350.51
6;2022;98541.95
7;2022;103164.69
8;2022;109522.88
9;2022;110036.79
10;2022;116037.08
11;2022;112486.01
12;2022;109734.60
1;2023;113430.54
2;2023;104931.93
3;2023;101882.20
4;2023;104431.63
5;2023;108335.07
6;2023;118087.00
7;2023;121942.98
8;2023;115741.81
9;2023;116565.17
10;2023;113143.67
11;2023;127331.12
12;2023;134185.24
1;2024;127752.28
2;2024;129020.02
3;2024;128106.10
4;2024;125924.19
5;2024;122098.09
6;2024;123906.55
7;2024;127651.81
8;2024;136004.01
9;2024;131816.44
10;2024;129713.33
11;2024;125667.83
12;2024;120283.40
1;2025;126134.94
2;2025;122799.09
3;2025;130259.54
4;2025;135066.97
5;2025;137026.62
6;2025;138854.60
7;2025;133071.05
8;2025;141422.26
9;2025;146237.02
10;2025;149540.43
11;2025;159072.13
12;2025;161125.37
1;2026;181363.90
2;2026;182949.78
