IBOVESPA - 2004
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2004;45;479.775.636.118,37;163.139.051.351,08
2/2004;45;490.035.291.017,85;168.177.394.130,65
3/2004;45;497.460.376.754,93;171.030.865.968,15
4/2004;45;435.015.841.707,42;147.728.407.548,28
5/2004;45;444.502.578.105,63;142.054.449.555,98
6/2004;45;469.580.035.337,44;151.111.837.598,53
7/2004;45;496.736.276.893,25;164.112.685.639,41
8/2004;45;526.555.798.211,27;179.479.104.987,14
9/2004;46;563.569.583.558,80;197.148.808.353,33
10/2004;45;568.979.751.105,95;199.187.730.126,38
11/2004;45;604.540.254.573,32;221.386.550.911,21
12/2004;45;642.025.875.690,20;241.872.316.037,64
