DATAPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,TOTNEG,QUATOT,VOLTOT,FATCOT,CODISI
2009-01-02,12,SHPH11,10,FII HIGIENOP,CI,R$,265.0,265.0,265.0,265.0,265.0,1,3,795.0,1,BRSHPHCTF008
2009-01-02,12,ALMI11B,10,FII TORRE AL,CI  ER  MB,R$,1250.0,1250.0,1250.0,1250.0,1250.0,2,8,10000.0,1,BRALMICTF003
2009-01-02,12,BBFI11B,10,FII BB PROGR,CI  ER  MB,R$,1550.0,1550.0,1550.0,1550.0,1550.0,6,48,74400.0,1,BRBBFICTF006
2009-01-02,12,FLMA11,10,FII S F LIMA,CI,R$,0.83,0.84,0.83,0.83,0.84,4,24092,19997.28,1,BRFLMACTF009
2009-01-05,12,SHPH11,10,FII HIGIENOP,CI,R$,265.0,265.0,265.0,265.0,265.0,2,4,1060.0,1,BRSHPHCTF008
2009-01-05,12,ABCP11,10,FII ABC IMOB,CI  ER,R$,5.84,5.84,5.84,5.84,5.84,2,100,584.0,1,BRABCPCTF000
2009-01-05,12,BBFI11B,10,FII BB PROGR,CI  ER  MB,R$,1550.0,1550.0,1550.0,1550.0,1550.0,2,6,9300.0,1,BRBBFICTF006
2009-01-05,12,FLMA11,10,FII S F LIMA,CI,R$,0.83,0.84,0.83,0.83,0.84,7,29057,24117.33,1,BRFLMACTF009
2009-01-05,12,FFCI11,10,FII F CENTER,CI,R$,0.98,0.98,0.96,0.96,0.96,6,34000,32662.0,1,BRFFCICTF005
2009-01-05,12,FAMB11B,10,FII ALMIRANT,CI  ER  MB,R$,1751.46,1751.46,1751.46,1751.46,1751.46,3,150,262719.0,1,BRFAMBCTF018
2009-01-05,12,EURO11,10,FII EUROPAR,CI  ER,R$,135.6,135.6,135.6,135.6,135.6,7,132,17899.2,1,BREUROCTF011
2009-01-06,12,NSLU11B,10,FII LOURDES,CI  ER  MB,R$,145.6,145.6,145.6,145.6,145.6,4,268,39020.8,1,BRNSLUCTF008
2009-01-06,12,TRNT11B,10,FII TORRE NO,CI      MB,R$,109.5,109.5,109.5,109.5,109.5,1,40,4380.0,1,BRTRNTCTF013
2009-01-06,12,SHPH11,10,FII HIGIENOP,CI,R$,265.0,265.0,265.0,265.0,265.0,3,76,20140.0,1,BRSHPHCTF008
2009-01-06,12,ALMI11B,10,FII TORRE AL,CI  ER  MB,R$,1240.0,1240.0,1240.0,1240.0,1240.0,1,12,14880.0,1,BRALMICTF003
2009-01-06,12,BBFI11B,10,FII BB PROGR,CI  ER  MB,R$,1513.01,1513.01,1513.01,1513.01,1513.01,10,102,154327.02,1,BRBBFICTF006
2009-01-06,12,HTMX11B,10,FII HOTEL MX,CI  ER  MB,R$,107.0,107.0,107.0,107.0,107.0,4,193,20651.0,1,BRHTMXCTF000
2009-01-06,12,FAMB11B,10,FII ALMIRANT,CI  ER  MB,R$,1755.0,1755.0,1755.0,1755.0,1755.0,5,122,214110.0,1,BRFAMBCTF018
2009-01-06,12,FLMA11,10,FII S F LIMA,CI,R$,0.83,0.84,0.83,0.83,0.83,17,19341,16053.32,1,BRFLMACTF009
2009-01-07,12,NSLU11B,10,FII LOURDES,CI  ER  MB,R$,145.94,145.94,145.94,145.94,145.94,7,440,64213.6,1,BRNSLUCTF008
2009-01-07,12,TRNT11B,10,FII TORRE NO,CI      MB,R$,109.5,109.5,109.5,109.5,109.5,1,38,4161.0,1,BRTRNTCTF013
2009-01-07,12,ABCP11,10,FII ABC IMOB,CI  ER,R$,6.05,6.05,6.05,6.05,6.05,1,500,3025.0,1,BRABCPCTF000
2009-01-07,12,BBFI11B,10,FII BB PROGR,CI  ER  MB,R$,1512.01,1512.01,1512.01,1512.01,1512.01,1,5,7560.05,1,BRBBFICTF006
2009-01-07,12,HCRI11B,10,FII CRIANCA,CI      MB,R$,205.0,205.0,205.0,205.0,205.0,1,2,410.0,1,BRHCRICTF006
2009-01-07,12,HTMX11B,10,FII HOTEL MX,CI  ER  MB,R$,107.0,107.0,107.0,107.0,107.0,1,175,18725.0,1,BRHTMXCTF000
2009-01-07,12,EURO11,10,FII EUROPAR,CI  ER,R$,136.0,139.8,136.0,139.73,139.8,4,61,8524.0,1,BREUROCTF011
2009-01-07,12,FAMB11B,10,FII ALMIRANT,CI  ER  MB,R$,1800.0,1800.0,1800.0,1800.0,1800.0,3,83,149400.0,1,BRFAMBCTF018
2009-01-07,12,FLMA11,10,FII S F LIMA,CI,R$,0.83,0.83,0.83,0.83,0.83,6,3910,3245.3,1,BRFLMACTF009
2009-01-08,12,NSLU11B,10,FII LOURDES,CI  ER  MB,R$,145.93,145.93,145.93,145.93,145.93,2,53,7734.29,1,BRNSLUCTF008
2009-01-08,12,WPLZ11B,10,FII W PLAZA,CI      MB,R$,100.0,100.0,100.0,100.0,100.0,1,24941,2494100.0,1,BRWPLZCTF004
2009-01-08,12,SHPH11,10,FII HIGIENOP,CI  ER,R$,268.0,268.0,243.0,258.99,268.0,8,111,28748.0,1,BRSHPHCTF008
2009-01-08,12,ALMI11B,10,FII TORRE AL,CI  ER  MB,R$,1240.0,1240.0,1240.0,1240.0,1240.0,1,50,62000.0,1,BRALMICTF003
2009-01-08,12,BBFI11B,10,FII BB PROGR,CI  ER  MB,R$,1550.0,1550.0,1550.0,1550.0,1550.0,4,16,24800.0,1,BRBBFICTF006
2009-01-08,12,HCRI11B,10,FII CRIANCA,CI      MB,R$,205.0,205.0,205.0,205.0,205.0,2,32,6560.0,1,BRHCRICTF006
2009-01-08,12,HTMX11B,10,FII HOTEL MX,CI  ER  MB,R$,107.0,107.0,107.0,107.0,107.0,1,67,7169.0,1,BRHTMXCTF000
2009-01-08,12,FLMA11,10,FII S F LIMA,CI,R$,0.8,0.83,0.8,0.8,0.83,6,17449,13989.2,1,BRFLMACTF009
