DATAPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,TOTNEG,QUATOT,VOLTOT,FATCOT,CODISI
2026-01-02,02,LEVE3,10,METAL LEVE,ON      NM,R$,34.17,34.84,33.16,33.57,33.5,1954,320100,10746164.0,1,BRLEVEACNOR2
2026-01-02,02,EQPA5,10,EQTL PARA,PNA,R$,11.5,17.0,11.5,14.73,17.0,11,3400,50100.0,1,BREQPAACNPA4
2026-01-02,02,EQTL3,10,EQUATORIAL,ON  EJ  NM,R$,38.62,38.73,38.3,38.4,38.3,15398,5026900,193043304.0,1,BREQTLACNOR0
2026-01-02,02,HBOR3,10,HELBOR,ON      NM,R$,2.52,2.6,2.49,2.52,2.52,2087,2097700,5305233.0,1,BRHBORACNOR3
2026-01-02,02,ISAE4,10,ISA ENERGIA,PN  EJ  N1,R$,27.54,27.65,26.8,27.0,26.9,6486,1882000,50819403.0,1,BRISAEACNPR9
2026-01-02,02,AERI3,10,AERIS,ON      NM,R$,3.21,3.3,3.21,3.26,3.25,120,18800,61474.0,1,BRAERIACNOR4
2026-01-02,02,AFLT3,10,AFLUENTE T,ON  EJ,R$,7.12,7.12,7.12,7.12,7.12,1,100,712.0,1,BRAFLTACNOR1
2026-01-02,02,VALE3,10,VALE,ON      NM,R$,72.33,72.55,71.65,72.16,72.38,28378,28418900,2050921717.0,1,BRVALEACNOR0
2026-01-02,02,HYPE3,10,HYPERA,ON  EJ  NM,R$,23.56,23.66,23.14,23.31,23.33,7580,2037900,47505215.0,1,BRHYPEACNOR0
2026-01-02,02,SMTO3,10,SAO MARTINHO,ON      NM,R$,15.34,15.34,14.63,14.86,14.8,5429,2046800,30416646.0,1,BRSMTOACNOR3
2026-01-02,02,SMFT3,10,SMART FIT,ON      NM,R$,23.42,23.43,22.77,23.0,22.98,11797,4231600,97348035.0,1,BRSMFTACNOR1
2026-01-02,02,RAPT4,10,RANDON PART,PN      N1,R$,5.68,5.75,5.43,5.52,5.46,4718,3645900,20159227.0,1,BRRAPTACNPR4
2026-01-02,02,RAPT3,10,RANDON PART,ON      N1,R$,5.92,5.93,5.7,5.75,5.74,70,45100,259619.0,1,BRRAPTACNOR7
2026-01-02,02,RANI3,10,IRANI,ON      NM,R$,8.68,8.76,8.6,8.69,8.69,1638,529000,4597114.0,1,BRRANIACNOR5
2026-01-02,02,RAIZ4,10,RAIZEN,PN      N2,R$,0.82,0.83,0.8,0.8,0.8,11023,18894200,15223489.0,1,BRRAIZACNPR6
2026-01-02,02,PRIO3,10,PETRORIO,ON      NM,R$,41.42,41.84,40.89,41.33,41.76,19949,7574500,313100473.0,1,BRPRIOACNOR1
2026-01-02,02,POSI3,10,POSITIVO TEC,ON      NM,R$,4.15,4.24,4.11,4.16,4.11,2252,2041800,8497853.0,1,BRPOSIACNOR9
2026-01-02,02,PETR4,10,PETROBRAS,PN  EDJ N2,R$,30.96,30.96,30.36,30.6,30.71,26246,21625200,661792267.0,1,BRPETRACNPR6
2026-01-02,02,PETR3,10,PETROBRAS,ON  EDJ N2,R$,32.61,32.62,31.93,32.26,32.3,11379,15637900,504532151.0,1,BRPETRACNOR9
2026-01-02,02,PEAB3,10,PAR AL BAHIA,ON  ED,R$,39.0,39.0,39.0,39.0,39.0,1,500,19500.0,1,BRPEABACNOR3
2026-01-02,02,PDTC3,10,PADTEC,ON      NM,R$,1.31,1.34,1.25,1.3,1.31,72,20600,26820.0,1,BRPDTCACNOR3
2026-01-02,02,PDGR3,10,PDG REALT,ON      NM,R$,1.43,1.49,1.43,1.47,1.48,36,22300,32881.0,1,BRPDGRACNOR8
2026-01-02,02,SUZB3,10,SUZANO S.A.,ON  ED  NM,R$,51.41,52.11,51.29,51.76,51.87,19436,5570600,288376286.0,1,BRSUZBACNOR0
2026-01-02,02,HBSA3,10,HIDROVIAS,ON      NM,R$,3.7,3.7,3.51,3.55,3.54,5025,2447200,8702606.0,1,BRHBSAACNOR0
2026-01-02,02,EQPA3,10,EQTL PARA,ON,R$,6.43,6.43,5.92,6.14,6.11,26,4800,29490.0,1,BREQPAACNOR1
2026-01-02,02,EQMA3B,10,EQTLMARANHAO,ON      MB,R$,31.8,31.8,30.01,30.9,30.01,3,400,12363.0,1,BREQMAACNOR8
2026-01-02,02,ENJU3,10,ENJOEI,ON      NM,R$,1.07,1.07,1.04,1.05,1.04,302,150200,158044.0,1,BRENJUACNOR9
2026-01-02,02,OBTC3,10,ORANJEBTC,ON,R$,9.81,9.9,9.5,9.72,9.81,877,164000,1594456.0,1,BROBTCACNOR0
2026-01-02,02,NUTR3,10,NUTRIPLANT,ON      MA,R$,2.61,2.67,2.61,2.63,2.61,13,1300,3430.0,1,BRNUTRACNOR0
2026-01-02,02,NGRD3,10,NEOGRID,ON      NM,R$,27.74,27.86,27.74,27.78,27.78,33,9100,252857.0,1,BRNGRDACNOR3
2026-01-02,02,MGLU3,10,MAGAZ LUIZA,ON  EB  NM,R$,9.04,9.12,8.73,8.89,8.83,14058,11298000,100546913.0,1,BRMGLUACNOR2
2026-01-02,02,MGEL4,10,MANGELS INDL,PN,R$,5.7,5.95,5.7,5.75,5.95,3,600,3455.0,1,BRMGELACNPR3
2026-01-02,02,WEGE3,10,WEG,ON  ED  NM,R$,48.51,49.1,48.15,48.5,48.25,15555,4801300,232902846.0,1,BRWEGEACNOR0
2026-01-02,02,WDCN3,10,WDC NETWORKS,ON      NM,R$,2.63,2.66,2.62,2.62,2.62,27,9200,24149.0,1,BRWDCNACNOR2
2026-01-02,02,FIQE3,10,UNIFIQUE,ON  EDB NM,R$,5.07,5.07,4.88,4.93,4.89,1120,431200,2126759.0,1,BRFIQEACNOR5
2026-01-02,02,FLRY3,10,FLEURY,ON      NM,R$,15.09,15.1,14.82,14.88,14.83,7207,2131600,31725630.0,1,BRFLRYACNOR5
2026-01-02,02,BLAU3,10,BLAU,ON  ED  NM,R$,14.1,14.5,13.8,13.99,13.91,1462,300000,4199152.0,1,BRBLAUACNOR8
2026-01-02,02,ENEV3,10,ENEVA,ON      NM,R$,20.41,20.41,19.96,20.09,20.02,15720,4975600,99985209.0,1,BRENEVACNOR8
2026-01-02,02,ENGI11,10,ENERGISA,UNT     N2,R$,47.59,47.59,46.77,47.0,47.09,7795,1693000,79583550.0,1,BRENGICDAM16
2026-01-02,02,ENGI3,10,ENERGISA,ON      N2,R$,12.36,12.42,12.19,12.33,12.25,18,2000,24665.0,1,BRENGIACNOR0
2026-01-02,02,ENGI4,10,ENERGISA,PN      N2,R$,8.79,8.88,8.65,8.71,8.65,59,10300,89772.0,1,BRENGIACNPR7
2026-01-02,02,EPAR3,10,EMBPAR S/A,ON,R$,4.04,4.13,4.0,4.02,4.03,40,27800,111809.0,1,BREPARACNOR9
