DATAPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES
2005-01-03,14,TEFC11,10,TELEFONICA,BDR,0,R$,49.0,49.0,49.0,49.0,49.0,49.0,52.0,1,100,4900.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-03,96,TEFC11F,20,TELEFONICA,BDR,0,R$,49.01,49.01,49.01,49.01,49.01,49.01,65.0,3,56,2744.56,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-04,14,TEFC11,10,TELEFONICA,BDR,0,R$,49.8,50.2,49.7,49.77,49.7,49.55,50.4,13,110400,5494702.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-04,96,TEFC11F,20,TELEFONICA,BDR,0,R$,49.8,49.8,49.5,49.71,49.5,49.01,49.7,2,67,3331.2,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-05,14,TEFC11,10,TELEFONICA,BDR,0,R$,49.41,49.5,49.41,49.49,49.5,45.0,51.0,10,113700,5628123.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-05,96,TEFC11F,20,TELEFONICA,BDR,0,R$,49.06,49.06,49.06,49.06,49.06,49.06,65.0,1,32,1569.92,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-06,14,TEFC11,10,TELEFONICA,BDR,0,R$,49.5,49.5,49.5,49.5,49.5,49.31,50.0,5,65200,3227400.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-06,96,TEFC11F,20,TELEFONICA,BDR,0,R$,49.2,49.2,49.2,49.2,49.2,49.2,65.0,1,23,1131.6,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-07,96,TEFC11F,20,TELEFONICA,BDR,0,R$,49.5,49.5,49.5,49.5,49.5,49.2,65.0,3,72,3564.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-07,14,TEFC11,10,TELEFONICA,BDR,0,R$,49.0,49.0,49.0,49.0,49.0,49.0,49.99,1,200,9800.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-10,14,TEFC11,10,TELEFONICA,BDR,0,R$,49.0,49.0,48.0,48.01,48.0,48.0,50.0,8,17700,849800.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-10,96,TEFC11F,20,TELEFONICA,BDR,0,R$,49.0,49.0,48.6,48.64,48.6,48.6,48.99,5,189,9193.4,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-11,96,TEFC11F,20,TELEFONICA,BDR,0,R$,48.01,48.01,47.81,47.89,48.0,47.86,50.0,5,156,7471.67,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-11,14,TEFC11,10,TELEFONICA,BDR,0,R$,48.0,48.31,48.0,48.07,48.3,48.3,48.99,3,3300,158644.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-12,96,TEFC11F,20,TELEFONICA,BDR,0,R$,47.95,48.0,47.95,47.95,48.0,47.81,50.0,2,36,1726.45,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-12,14,TEFC11,10,TELEFONICA,BDR,0,R$,48.5,48.5,48.5,48.5,48.5,48.2,49.0,1,200,9700.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-13,96,TEFC11F,20,TELEFONICA,BDR,0,R$,47.81,48.0,47.81,47.86,48.0,48.0,65.0,3,136,6509.76,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-13,14,TEFC11,10,TELEFONICA,BDR,0,R$,48.49,48.5,48.0,48.25,48.3,48.3,48.7,7,4800,231637.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-14,14,TEFC11,10,TELEFONICA,BDR,0,R$,47.7,47.7,47.7,47.7,47.7,47.7,48.49,1,500,23850.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-14,96,TEFC11F,20,TELEFONICA,BDR,0,R$,47.8,47.8,47.3,47.62,47.3,47.0,50.0,2,31,1476.3,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-17,14,TEFC11,10,TELEFONICA,BDR,0,R$,47.7,47.7,47.7,47.7,47.7,45.0,51.0,1,400,19080.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-17,96,TEFC11F,20,TELEFONICA,BDR,0,R$,47.7,47.7,47.7,47.7,47.7,46.02,50.0,1,29,1383.3,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-18,14,TEFC11,10,TELEFONICA,BDR,0,R$,47.7,48.01,47.7,47.9,48.01,48.01,48.5,2,900,43116.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-18,96,TEFC11F,20,TELEFONICA,BDR,0,R$,47.5,47.7,47.5,47.59,47.7,45.0,50.0,2,20,951.8,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-19,14,TEFC11,10,TELEFONICA,BDR,0,R$,48.61,48.61,47.9,48.0,48.0,47.0,48.5,7,61900,2971534.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-19,96,TEFC11F,20,TELEFONICA,BDR,0,R$,48.0,48.01,47.0,47.52,47.0,47.0,65.0,3,143,6796.44,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-20,14,TEFC11,10,TELEFONICA,BDR,0,R$,47.4,47.5,47.3,47.41,47.3,47.1,48.0,8,105400,4997420.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-20,96,TEFC11F,20,TELEFONICA,BDR,0,R$,46.5,46.5,46.5,46.5,46.5,44.01,50.0,1,9,418.5,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-21,14,TEFC11,10,TELEFONICA,BDR,0,R$,47.0,47.0,47.0,47.0,47.0,46.8,52.0,1,400,18800.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-21,96,TEFC11F,20,TELEFONICA,BDR,0,R$,47.3,47.3,46.0,46.13,46.0,45.0,65.0,3,94,4336.7,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-24,14,TEFC11,10,TELEFONICA,BDR,0,R$,46.2,46.2,46.2,46.2,46.2,45.5,47.99,7,52500,2425500.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-24,96,TEFC11F,20,TELEFONICA,BDR,0,R$,46.0,46.0,45.51,45.73,45.86,45.87,50.0,4,170,7775.41,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-26,14,TEFC11,10,TELEFONICA,BDR,0,R$,47.7,47.7,47.4,47.6,47.4,47.0,50.0,6,1300,61892.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-26,96,TEFC11F,20,TELEFONICA,BDR,0,R$,47.0,47.0,47.0,47.0,47.0,44.01,65.0,1,45,2115.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-27,14,TEFC11,10,TELEFONICA,BDR,0,R$,47.4,47.4,47.2,47.24,47.4,47.01,47.7,13,197200,9316138.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-27,96,TEFC11F,20,TELEFONICA,BDR,0,R$,46.6,46.6,46.6,46.6,46.6,45.03,65.0,1,25,1165.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-28,14,TEFC11,10,TELEFONICA,BDR,0,R$,47.4,47.4,47.2,47.2,47.2,46.0,47.8,10,158100,7463088.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-28,96,TEFC11F,20,TELEFONICA,BDR,0,R$,46.5,46.5,46.5,46.5,46.5,44.11,50.0,1,88,4092.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-31,14,TEFC11,10,TELEFONICA,BDR,0,R$,47.2,47.5,47.2,47.28,47.25,46.5,49.99,8,4500,212776.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-01-31,96,TEFC11F,20,TELEFONICA,BDR,0,R$,46.5,46.5,46.5,46.5,46.5,46.0,50.0,2,61,2836.5,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-02-01,14,TEFC11,10,TELEFONICA,BDR,0,R$,47.25,47.3,47.2,47.25,47.2,47.2,47.4,5,1800,85058.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-02-01,96,TEFC11F,20,TELEFONICA,BDR,0,R$,47.0,47.0,47.0,47.0,47.0,47.1,50.0,1,27,1269.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-02-02,96,TEFC11F,20,TELEFONICA,BDR,0,R$,47.21,47.21,47.21,47.21,47.21,47.3,50.0,1,11,519.31,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-02-02,14,TEFC11,10,TELEFONICA,BDR,0,R$,47.5,47.55,47.4,47.48,47.4,47.0,49.99,6,3600,170960.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-02-03,14,TEFC11,10,TELEFONICA,BDR,0,R$,46.61,47.05,46.51,46.66,47.05,46.63,47.2,3,600,28000.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-02-03,96,TEFC11F,20,TELEFONICA,BDR,0,R$,46.99,46.99,46.21,46.57,46.21,46.4,65.0,5,134,6241.45,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-02-04,14,TEFC11,10,TELEFONICA,BDR,0,R$,47.0,47.2,47.0,47.13,47.2,47.45,47.8,4,1200,56564.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-02-04,96,TEFC11F,20,TELEFONICA,BDR,0,R$,47.0,47.0,47.0,47.0,47.0,46.28,65.0,3,100,4700.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-02-09,14,TEFC11,10,TELEFONICA,BDR,0,R$,47.6,47.8,47.0,47.74,47.0,47.0,47.6,10,175300,8369680.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-02-09,96,TEFC11F,20,TELEFONICA,BDR,0,R$,46.5,46.5,46.5,46.5,46.5,46.28,65.0,1,19,883.5,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-02-10,14,TEFC11,10,TELEFONICA,BDR,0,R$,47.5,48.6,47.5,48.44,48.5,47.5,49.99,18,148600,7199090.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-02-10,96,TEFC11F,20,TELEFONICA,BDR,0,R$,47.0,47.5,47.0,47.14,47.5,48.0,48.25,2,67,3159.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-02-11,14,TEFC11,10,TELEFONICA,BDR,0,R$,48.0,49.0,48.0,48.99,49.0,47.55,48.99,6,116400,5703098.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-02-11,96,TEFC11F,20,TELEFONICA,BDR,0,R$,48.0,48.25,48.0,48.02,48.25,48.11,65.0,4,181,8692.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-02-14,14,TEFC11,10,TELEFONICA,BDR,0,R$,48.06,48.06,48.05,48.05,48.05,47.5,48.49,3,1400,67282.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-02-14,96,TEFC11F,20,TELEFONICA,BDR,0,R$,48.0,48.0,48.0,48.0,48.0,47.82,65.0,4,143,6864.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-02-15,14,TEFC11,10,TELEFONICA,BDR,0,R$,48.0,48.55,48.0,48.21,48.55,48.6,48.74,5,1600,77150.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-02-15,96,TEFC11F,20,TELEFONICA,BDR,0,R$,48.01,48.15,48.0,48.01,48.0,48.0,65.0,6,143,6866.6,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-02-16,96,TEFC11F,20,TELEFONICA,BDR,0,R$,48.16,48.16,48.16,48.16,48.16,48.16,65.0,3,142,6838.72,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-02-16,14,TEFC11,10,TELEFONICA,BDR,0,R$,48.55,48.6,48.5,48.5,48.5,48.25,49.99,4,17700,858515.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
2005-02-17,14,TEFC11,10,TELEFONICA,BDR,0,R$,47.7,48.8,47.7,48.79,48.8,47.81,49.99,13,197600,9641048.0,0.0,0,9999-12-31,1,0.0,BRTEFCBDR014,111
