DATAPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,TOTNEG,QUATOT,VOLTOT,FATCOT,CODISI
2026-01-02,96,RDOR3F,20,REDE D OR,ON  EDJ NM,R$,41.01,41.46,40.42,40.72,40.43,829,9612,391488.15,1,BRRDORACNOR8
2026-01-02,96,BSLI3F,20,BRB BANCO,ON,R$,6.85,7.18,6.59,6.72,6.66,92,614,4128.35,1,BRBSLIACNOR5
2026-01-02,96,BSLI4F,20,BRB BANCO,PN,R$,7.23,7.28,7.15,7.19,7.26,43,407,2929.65,1,BRBSLIACNPR2
2026-01-02,96,CSNA3F,20,SID NACIONAL,ON,R$,8.96,9.0,8.74,8.82,8.77,1097,13903,122694.77,1,BRCSNAACNOR6
2026-01-02,96,ENEV3F,20,ENEVA,ON      NM,R$,20.41,20.5,19.92,20.12,19.92,673,7468,150259.59,1,BRENEVACNOR8
2026-01-02,96,ENGI11F,20,ENERGISA,UNT     N2,R$,48.0,48.0,46.85,46.99,46.85,411,5358,251775.17,1,BRENGICDAM16
2026-01-02,96,ENGI3F,20,ENERGISA,ON      N2,R$,12.55,12.6,12.3,12.46,12.6,99,545,6791.62,1,BRENGIACNOR0
2026-01-02,96,ENGI4F,20,ENERGISA,PN      N2,R$,8.79,8.93,8.66,8.73,8.67,164,1811,15827.74,1,BRENGIACNPR7
2026-01-02,96,ENJU3F,20,ENJOEI,ON      NM,R$,1.04,1.07,1.04,1.05,1.06,85,1220,1284.13,1,BRENJUACNOR9
2026-01-02,96,ENMT3F,20,ENERGISA MT,ON,R$,52.9,52.9,52.0,52.45,52.0,6,8,419.6,1,BRENMTACNOR5
2026-01-02,96,BRST3F,20,BRISANET,ON  EJ  NM,R$,3.35,3.56,3.35,3.44,3.4,240,3835,13219.7,1,BRBRSTACNOR9
2026-01-02,96,ENMT4F,20,ENERGISA MT,PN,R$,55.35,55.35,51.16,52.0,51.16,4,11,572.02,1,BRENMTACNPR2
2026-01-02,96,EQPA3F,20,EQTL PARA,ON,R$,6.05,6.41,5.99,6.13,6.1,58,788,4832.72,1,BREQPAACNOR1
