DATAPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES
2001-01-02,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,73.0,74.0,73.0,73.33,74.0,71.5,74.0,2,60000,4400.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,100
2001-01-02,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,4.71,4.71,4.71,4.71,4.71,4.71,0.0,2,300000,1413.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-01-03,02,PALF11,10,PAUL F LUZ,PRC*EJ,0,R$,72.01,74.5,72.01,73.14,74.5,72.5,78.0,3,110000,8045.6,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-04,02,PALF11,10,PAUL F LUZ,PRC*EJ,0,R$,74.0,75.0,74.0,74.57,75.0,75.0,79.0,4,870000,64880.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-04,02,IBOV11,10,IBOVESPA,IBO,0,R$,16760.0,16760.0,16760.0,16760.0,16760.0,0.0,0.0,1,2000,33520000.0,0.0,0,9999-12-31,1,0.0,BRIBOVINDM18,0
2001-01-05,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,4.8,4.8,4.8,4.8,4.8,5.04,0.0,1,100000,480.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-01-05,02,PALF11,10,PAUL F LUZ,PRC*EJ,0,R$,74.0,74.0,74.0,74.0,74.0,74.0,76.5,1,250000,18500.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-08,02,PALF11,10,PAUL F LUZ,PRC*EJ,0,R$,74.01,74.01,74.01,74.01,74.01,74.01,76.5,1,140000,10361.4,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-09,02,PALF11,10,PAUL F LUZ,PRC*EJ,0,R$,75.5,77.0,75.5,75.96,77.0,75.5,77.5,4,150000,11395.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-09,02,TMGC11,10,TELEMIG CL,PNE*,0,R$,40.0,40.0,40.0,40.0,40.0,34.0,0.0,4,16100000,644000.0,0.0,0,9999-12-31,1000,0.0,BRTMGCACNPE8,100
2001-01-09,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,4.9,4.9,4.9,4.9,4.9,4.9,0.0,1,100000,490.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-01-10,02,PALF11,10,PAUL F LUZ,PRC*EJ,0,R$,77.0,77.0,76.8,76.82,76.8,77.0,77.5,3,310000,23816.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-11,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,4.9,4.9,4.9,4.9,4.9,4.9,0.0,1,100000,490.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-01-11,02,PALF11,10,PAUL F LUZ,PRC*EJ,0,R$,75.0,75.0,75.0,75.0,75.0,74.5,78.0,1,20000,1500.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-12,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,4.9,4.9,4.9,4.9,4.9,4.9,7.0,1,100000,490.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-01-12,02,PALF11,10,PAUL F LUZ,PRC*EJ,0,R$,76.5,76.5,75.01,75.11,75.01,75.01,77.0,3,140000,10516.3,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-15,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,75.0,78.0,75.0,76.0,78.0,61.0,78.0,3,630000,47880.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-15,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,5.02,5.02,5.02,5.02,5.02,5.02,5.2,2,38000000,190760.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-01-16,02,BRGE11,10,ALFA CONSORC,PNE,0,R$,2.05,2.05,2.05,2.05,2.05,2.05,2.3,1,1000,2050.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPE1,65
2001-01-17,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,5.15,5.17,5.15,5.15,5.17,5.17,0.0,4,5000000,25796.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-01-17,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,78.0,78.0,77.0,77.94,78.0,75.01,80.0,5,1580000,123160.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-17,02,IBOV11,10,IBOVESPA,IBO,0,R$,17153.0,17153.0,17153.0,17153.0,17153.0,0.0,0.0,3,2700,46313100.0,0.0,0,9999-12-31,1,0.0,BRIBOVINDM18,0
2001-01-18,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,78.0,78.0,78.0,78.0,78.0,75.01,80.0,1,20000,1560.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-18,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,5.15,5.15,5.15,5.15,5.15,5.15,0.0,1,200000,1030.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-01-19,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,78.0,78.0,78.0,78.0,78.0,77.01,80.0,2,350000,27300.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-19,02,TMGC11,10,TELEMIG CL,PNE*,0,R$,40.0,40.0,40.0,40.0,40.0,38.0,42.0,1,700000,28000.0,0.0,0,9999-12-31,1000,0.0,BRTMGCACNPE8,100
2001-01-22,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,78.0,78.0,78.0,78.0,78.0,78.02,80.0,1,20000,1560.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-23,02,BRGE11,10,ALFA CONSORC,PNE,0,R$,2.3,2.3,2.3,2.3,2.3,2.3,2.4,1,4000,9200.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPE1,65
2001-01-23,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,80.0,80.0,80.0,80.0,80.0,78.0,80.0,1,20000,1600.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-23,02,TEPR11,10,BRASIL TELEC,ON *CRT,0,R$,15.02,15.02,15.02,15.02,15.02,15.02,0.0,1,100000,1502.0,0.0,0,9999-12-31,1000,0.0,BRTEPRA01OR0,103
2001-01-24,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,85.01,85.01,78.0,84.96,78.0,75.01,84.49,6,1580000,134245.7,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-26,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,6.7,6.7,6.51,6.52,6.51,6.51,0.0,3,1100000,7180.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-01-26,02,TEPR11,10,BRASIL TELEC,ON *CRT,0,R$,15.02,15.02,15.02,15.02,15.02,15.1,0.0,1,200000,3004.0,0.0,0,9999-12-31,1000,0.0,BRTEPRA01OR0,103
2001-01-26,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,78.5,79.0,78.0,78.88,78.0,78.0,84.0,7,570000,44965.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-29,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,78.01,78.5,78.0,78.24,78.5,78.5,81.0,4,410000,32080.2,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-29,02,TMGC11,10,TELEMIG CL,PNE*,0,R$,40.0,40.0,40.0,40.0,40.0,0.0,42.0,1,100000,4000.0,0.0,0,9999-12-31,1000,0.0,BRTMGCACNPE8,100
2001-01-29,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,6.51,6.51,6.51,6.51,6.51,6.51,7.5,2,800000,5208.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-01-30,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,79.0,83.0,79.0,82.27,82.0,80.0,82.0,5,1610000,132470.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-01-31,02,TEPR11,10,BRASIL TELEC,ON *CRT,0,R$,16.01,16.01,16.01,16.01,16.01,16.31,17.8,1,200000,3202.0,0.0,0,9999-12-31,1000,0.0,BRTEPRA01OR0,103
2001-01-31,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,80.0,80.0,80.0,80.0,80.0,79.0,84.0,6,740000,59200.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
