IBOVESPA - 2005 2016
Ano;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;Anual

2006;32,93;;;;;;;;;;44.473,71
2007;38,19;43,65;;;;;;;;;63.886,10
2008;3,92;-8,11;-41,22;;;;;;;;37.550,31
2009;19,66;15,54;3,61;82,66;;;;;;;68.588,41
2010;15,68;11,73;2,75;35,85;1,04;;;;;;69.304,81
2011;9,21;5,00;-2,92;14,76;-9,04;-18,11;;;;;56.754,08
2012;8,95;5,39;-0,94;12,87;-3,86;-6,22;7,40;;;;60.952,08
2013;5,54;2,12;-3,53;6,52;-6,91;-9,42;-4,73;-15,50;;;51.507,16
2014;4,57;1,48;-3,44;4,89;-6,12;-7,83;-4,13;-9,42;-2,91;;50.007,41
2015;2,62;-0,28;-4,73;2,07;-7,36;-8,96;-6,51;-10,74;-8,26;-13,31;43.349,96
2016;5,49;3,08;-0,65;6,08;-1,84;-2,31;1,20;-0,30;5,35;9,74;60.227,28
