IBOVESPA - 2015 2026
Mês;Ano;Valor

1;2015;25,75
2;2015;19,40
3;2015;23,26
4;2015;18,53
5;2015;18,77
6;2015;18,17
7;2015;18,33
8;2015;26,88
9;2015;25,12
10;2015;25,39
11;2015;28,11
12;2015;25,37
1;2016;28,93
2;2016;33,97
3;2016;37,90
4;2016;30,65
5;2016;21,81
6;2016;26,48
7;2016;13,07
8;2016;16,87
9;2016;23,94
10;2016;12,24
11;2016;32,28
12;2016;23,71
1;2017;20,36
2;2017;16,53
3;2017;20,76
4;2017;16,73
5;2017;37,32
6;2017;13,33
7;2017;10,99
8;2017;12,31
9;2017;13,21
10;2017;16,58
11;2017;23,17
12;2017;14,15
1;2018;18,36
2;2018;23,78
3;2018;13,50
4;2018;16,47
5;2018;26,29
6;2018;23,95
7;2018;15,67
8;2018;23,50
9;2018;20,86
10;2018;32,67
11;2018;21,92
12;2018;18,05
1;2019;17,69
2;2019;21,26
3;2019;26,40
4;2019;16,98
5;2019;19,89
6;2019;15,77
7;2019;13,35
8;2019;24,18
9;2019;10,44
10;2019;17,60
11;2019;14,44
12;2019;10,20
1;2020;20,85
2;2020;33,32
3;2020;123,94
4;2020;47,59
5;2020;31,41
6;2020;26,30
7;2020;21,50
8;2020;21,33
9;2020;22,24
10;2020;25,65
11;2020;22,30
12;2020;15,40
1;2021;25,37
2;2021;27,70
3;2021;23,27
4;2021;13,52
5;2021;15,74
6;2021;11,83
7;2021;19,46
8;2021;16,95
9;2021;26,43
10;2021;25,02
11;2021;22,34
12;2021;19,71
1;2022;18,01
2;2022;12,62
3;2022;20,68
4;2022;17,57
5;2022;20,18
6;2022;18,72
7;2022;16,15
8;2022;19,17
9;2022;23,45
10;2022;29,41
11;2022;27,72
12;2022;20,92
1;2023;22,15
2;2023;18,21
3;2023;18,96
4;2023;20,60
5;2023;17,05
6;2023;15,68
7;2023;16,78
8;2023;13,37
9;2023;15,84
10;2023;15,30
11;2023;14,06
12;2023;13,21
1;2024;11,52
2;2024;14,56
3;2024;10,49
4;2024;12,74
5;2024;9,86
6;2024;12,34
7;2024;9,95
8;2024;11,70
9;2024;12,22
10;2024;9,82
11;2024;17,17
12;2024;20,39
1;2025;18,48
2;2025;16,40
3;2025;15,29
4;2025;20,81
5;2025;13,79
6;2025;11,41
7;2025;12,48
8;2025;15,86
9;2025;9,52
10;2025;10,31
11;2025;11,30
12;2025;22,02
1;2026;18,76
2;2026;8,71
